x,score,homeOraway,opponent,shots,shots_op,free throws,free throws_op,rebounds,rebounds_op,assists,assists_op,steals,steals_op,blocks,blocks_op,fouls,fouls_op,turnovers,turnovers_op
-4,108,0,WAS,39,41,22,18,41,46,28,29,10,11,6,6,-23,-22,-19,-19
-7,87,0,CHI,34,36,13,17,41,49,23,19,10,9,6,5,-18,-15,-15,-15
7,112,0,NYK,40,39,19,20,35,47,21,18,11,5,3,6,-18,-20,-8,-15
8,119,0,ATL,41,38,17,22,43,47,33,19,10,6,4,6,-22,-23,-14,-19
-13,86,1,BOS,37,37,6,15,46,45,23,28,8,12,13,1,-20,-10,-17,-12
-1,102,0,MIN,41,39,13,21,43,46,25,21,9,6,5,3,-21,-18,-12,-11
-22,85,0,SAS,33,40,14,15,49,46,19,27,10,6,4,7,-16,-18,-15,-18
2,106,1,PHI,32,39,28,18,42,50,24,28,12,11,10,9,-24,-26,-18,-21
30,122,1,ORL,50,35,12,15,47,49,36,15,14,7,9,4,-18,-21,-12,-19
25,117,1,MIL,45,36,15,11,44,35,30,19,5,8,6,7,-16,-17,-12,-11
16,111,0,OKC,40,37,16,17,46,40,28,18,8,10,8,2,-22,-19,-16,-11
