x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-28.0,86.0,2016-01-16,0,ATL,30.0,28.0,6.0,8.0,20.0,29.0,48.0,72.0,28.0,36.0,58.0,50.0,36.0,40.0,7.0,5.0,29.0,35.0,63.0,75.0,12.0,18.0,19.0,24.0,22.0,34.0,5.0,14.0,3.0,5.0,-17.0,-10.0,-17.0,-20.0
2.0,90.0,2015-11-17,1,ATL,45.0,41.0,9.0,12.0,20.0,29.0,44.0,45.0,28.0,21.0,64.0,47.0,44.0,44.0,9.0,8.0,35.0,36.0,54.0,71.0,7.0,10.0,13.0,14.0,22.0,22.0,14.0,7.0,3.0,7.0,-11.0,-20.0,-14.0,-17.0
-14.0,87.0,2015-11-04,0,ATL,24.0,36.0,5.0,8.0,21.0,22.0,50.0,54.0,31.0,29.0,62.0,54.0,43.0,34.0,14.0,6.0,29.0,28.0,77.0,79.0,10.0,19.0,13.0,24.0,24.0,27.0,9.0,15.0,4.0,10.0,-19.0,-13.0,-19.0,-17.0
-9.0,94.0,2016-01-04,1,BOS,21.0,29.0,6.0,6.0,28.0,21.0,46.0,49.0,26.0,35.0,57.0,71.0,53.0,48.0,16.0,12.0,37.0,36.0,89.0,79.0,24.0,15.0,27.0,19.0,16.0,22.0,4.0,10.0,6.0,5.0,-14.0,-7.0,-18.0,-21.0
3.0,100.0,2016-01-02,0,BOS,17.0,22.0,3.0,7.0,18.0,32.0,47.0,48.0,35.0,27.0,75.0,56.0,50.0,51.0,14.0,16.0,36.0,35.0,96.0,79.0,21.0,22.0,22.0,28.0,23.0,17.0,5.0,8.0,2.0,4.0,-14.0,-14.0,-21.0,-24.0
10.0,111.0,2015-11-22,1,BOS,33.0,38.0,5.0,14.0,15.0,37.0,55.0,47.0,35.0,21.0,64.0,45.0,49.0,35.0,14.0,10.0,35.0,25.0,79.0,81.0,26.0,17.0,33.0,21.0,18.0,19.0,11.0,9.0,4.0,2.0,-14.0,-17.0,-20.0,-28.0
-25.0,95.0,2015-11-20,0,BOS,42.0,35.0,8.0,10.0,19.0,29.0,39.0,71.0,27.0,41.0,70.0,58.0,44.0,41.0,14.0,7.0,30.0,34.0,71.0,80.0,17.0,8.0,24.0,10.0,17.0,39.0,10.0,10.0,0.0,4.0,-19.0,-16.0,-13.0,-19.0
-14.0,99.0,2016-04-08,0,CHA,40.0,38.0,10.0,14.0,25.0,37.0,43.0,59.0,29.0,27.0,67.0,46.0,45.0,42.0,16.0,10.0,29.0,32.0,55.0,85.0,11.0,17.0,20.0,20.0,24.0,26.0,9.0,11.0,5.0,12.0,-14.0,-12.0,-17.0,-17.0
-5.0,100.0,2016-03-22,1,CHA,44.0,36.0,8.0,10.0,18.0,28.0,46.0,54.0,26.0,29.0,56.0,54.0,44.0,36.0,6.0,3.0,38.0,33.0,89.0,81.0,24.0,17.0,27.0,21.0,21.0,21.0,4.0,7.0,2.0,5.0,-16.0,-8.0,-24.0,-21.0
-8.0,96.0,2016-02-21,1,CHA,23.0,37.0,5.0,10.0,22.0,27.0,51.0,58.0,30.0,30.0,59.0,52.0,42.0,41.0,9.0,6.0,33.0,35.0,88.0,93.0,21.0,14.0,24.0,15.0,23.0,23.0,8.0,7.0,4.0,1.0,-14.0,-15.0,-15.0,-21.0
-5.0,111.0,2015-11-18,0,CHA,33.0,44.0,5.0,11.0,15.0,25.0,51.0,51.0,39.0,28.0,76.0,55.0,37.0,49.0,5.0,9.0,32.0,40.0,82.0,75.0,18.0,27.0,22.0,36.0,25.0,27.0,5.0,5.0,4.0,8.0,-9.0,-15.0,-23.0,-16.0
-16.0,102.0,2016-03-17,0,CHI,29.0,46.0,6.0,11.0,21.0,24.0,52.0,50.0,34.0,35.0,65.0,70.0,39.0,50.0,12.0,16.0,27.0,34.0,80.0,1.0,16.0,15.0,20.0,15.0,22.0,26.0,7.0,6.0,3.0,8.0,-9.0,-9.0,-18.0,-16.0
3.0,105.0,2015-12-21,0,CHI,35.0,35.0,7.0,9.0,20.0,26.0,49.0,49.0,36.0,34.0,74.0,69.0,51.0,45.0,15.0,15.0,36.0,30.0,86.0,54.0,12.0,7.0,14.0,13.0,26.0,32.0,9.0,8.0,4.0,8.0,-14.0,-13.0,-13.0,-15.0
-15.0,100.0,2015-10-28,1,CHI,0.0,50.0,0.0,14.0,9.0,28.0,46.0,56.0,39.0,28.0,84.0,50.0,45.0,39.0,16.0,5.0,29.0,34.0,79.0,85.0,22.0,17.0,28.0,20.0,19.0,20.0,11.0,9.0,5.0,3.0,-13.0,-19.0,-18.0,-24.0
-20.0,87.0,2016-03-31,0,CLE,19.0,32.0,4.0,12.0,21.0,38.0,42.0,53.0,31.0,26.0,73.0,49.0,55.0,50.0,13.0,9.0,42.0,41.0,62.0,79.0,13.0,19.0,21.0,24.0,26.0,29.0,12.0,10.0,4.0,7.0,-17.0,-17.0,-19.0,-17.0
9.0,104.0,2016-03-24,1,CLE,36.0,26.0,8.0,10.0,22.0,38.0,49.0,57.0,33.0,29.0,67.0,51.0,46.0,45.0,10.0,11.0,36.0,34.0,74.0,78.0,14.0,7.0,19.0,9.0,28.0,22.0,10.0,3.0,4.0,2.0,-9.0,-14.0,-16.0,-20.0
-13.0,78.0,2016-01-20,1,CLE,21.0,29.0,4.0,5.0,19.0,17.0,48.0,52.0,31.0,31.0,65.0,60.0,39.0,45.0,9.0,6.0,30.0,39.0,50.0,70.0,4.0,14.0,8.0,20.0,20.0,15.0,4.0,6.0,4.0,3.0,-12.0,-13.0,-16.0,-13.0
-2.0,88.0,2015-11-28,0,CLE,24.0,33.0,4.0,9.0,17.0,27.0,45.0,43.0,29.0,26.0,64.0,60.0,46.0,49.0,8.0,12.0,38.0,37.0,75.0,65.0,18.0,11.0,24.0,17.0,21.0,20.0,9.0,9.0,4.0,11.0,-16.0,-19.0,-18.0,-19.0
-12.0,79.0,2016-01-29,0,DAL,20.0,38.0,4.0,8.0,20.0,21.0,41.0,49.0,24.0,29.0,58.0,59.0,44.0,49.0,10.0,10.0,34.0,39.0,83.0,60.0,19.0,9.0,23.0,15.0,13.0,22.0,10.0,6.0,2.0,5.0,-10.0,-12.0,-14.0,-17.0
-1.0,118.0,2015-12-23,1,DAL,53.0,47.0,10.0,16.0,19.0,34.0,50.0,60.0,41.0,29.0,82.0,48.0,43.0,34.0,15.0,5.0,28.0,29.0,43.0,87.0,6.0,13.0,14.0,15.0,32.0,27.0,9.0,3.0,4.0,4.0,-11.0,-17.0,-17.0,-18.0
1.0,121.0,2016-03-04,0,DEN,59.0,23.0,13.0,6.0,22.0,26.0,48.0,57.0,33.0,40.0,69.0,70.0,34.0,50.0,8.0,17.0,26.0,33.0,76.0,88.0,16.0,22.0,21.0,25.0,32.0,28.0,5.0,8.0,4.0,6.0,-13.0,-15.0,-21.0,-20.0
