x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-11.0,76.0,2016-02-28,0,ATL,22.0,47.0,7.0,8.0,32.0,17.0,41.0,50.0,20.0,30.0,49.0,60.0,41.0,48.0,10.0,6.0,31.0,42.0,65.0,60.0,15.0,3.0,23.0,5.0,16.0,29.0,7.0,4.0,4.0,5.0,-6.0,-15.0,-12.0,-19.0
23.0,107.0,2016-01-13,1,ATL,33.0,28.0,13.0,7.0,40.0,25.0,55.0,41.0,23.0,23.0,42.0,56.0,54.0,37.0,11.0,6.0,43.0,31.0,85.0,81.0,22.0,17.0,26.0,21.0,26.0,17.0,8.0,5.0,9.0,4.0,-16.0,-16.0,-24.0,-21.0
-2.0,92.0,2015-11-01,1,ATL,38.0,24.0,14.0,7.0,37.0,29.0,37.0,51.0,18.0,30.0,49.0,59.0,45.0,48.0,9.0,9.0,36.0,39.0,93.0,93.0,14.0,13.0,15.0,14.0,27.0,22.0,7.0,9.0,13.0,6.0,-11.0,-11.0,-14.0,-16.0
-3.0,94.0,2015-10-30,0,ATL,40.0,35.0,12.0,8.0,30.0,23.0,41.0,47.0,24.0,28.0,58.0,60.0,54.0,45.0,13.0,8.0,41.0,37.0,77.0,77.0,10.0,17.0,13.0,22.0,23.0,23.0,7.0,9.0,6.0,4.0,-18.0,-15.0,-20.0,-17.0
14.0,113.0,2016-04-08,1,BKN,38.0,40.0,14.0,10.0,37.0,25.0,59.0,43.0,27.0,29.0,46.0,67.0,42.0,45.0,10.0,16.0,32.0,29.0,85.0,55.0,17.0,11.0,20.0,20.0,26.0,24.0,11.0,9.0,12.0,5.0,-12.0,-14.0,-17.0,-17.0
5.0,105.0,2016-03-22,0,BKN,36.0,44.0,10.0,8.0,28.0,18.0,54.0,46.0,29.0,26.0,54.0,56.0,36.0,44.0,3.0,6.0,33.0,38.0,81.0,89.0,17.0,24.0,21.0,27.0,21.0,21.0,7.0,4.0,5.0,2.0,-8.0,-16.0,-21.0,-24.0
8.0,104.0,2016-02-21,0,BKN,37.0,23.0,10.0,5.0,27.0,22.0,58.0,51.0,30.0,30.0,52.0,59.0,41.0,42.0,6.0,9.0,35.0,33.0,93.0,88.0,14.0,21.0,15.0,24.0,23.0,23.0,7.0,8.0,1.0,4.0,-15.0,-14.0,-21.0,-15.0
5.0,116.0,2015-11-18,1,BKN,44.0,33.0,11.0,5.0,25.0,15.0,51.0,51.0,28.0,39.0,55.0,76.0,49.0,37.0,9.0,5.0,40.0,32.0,75.0,82.0,27.0,18.0,36.0,22.0,27.0,25.0,5.0,5.0,8.0,4.0,-15.0,-9.0,-16.0,-23.0
14.0,114.0,2016-04-11,0,BOS,44.0,33.0,14.0,8.0,32.0,24.0,55.0,40.0,27.0,26.0,49.0,65.0,44.0,46.0,7.0,13.0,37.0,33.0,82.0,83.0,18.0,24.0,22.0,29.0,23.0,17.0,10.0,6.0,7.0,1.0,-14.0,-12.0,-20.0,-17.0
-13.0,89.0,2015-12-23,1,BOS,29.0,24.0,8.0,7.0,28.0,29.0,40.0,52.0,21.0,29.0,53.0,56.0,44.0,49.0,12.0,10.0,32.0,39.0,72.0,89.0,23.0,23.0,32.0,26.0,19.0,25.0,6.0,9.0,6.0,4.0,-16.0,-13.0,-18.0,-23.0
-5.0,93.0,2015-12-12,1,BOS,31.0,36.0,11.0,9.0,35.0,25.0,47.0,44.0,25.0,31.0,53.0,71.0,52.0,42.0,7.0,3.0,45.0,39.0,1.0,90.0,10.0,9.0,10.0,10.0,17.0,26.0,1.0,5.0,5.0,5.0,-11.0,-5.0,-12.0,-13.0
