x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
15.0,109.0,2016-04-11,1,ATL,38.0,27.0,11.0,8.0,29.0,30.0,54.0,54.0,29.0,31.0,54.0,57.0,47.0,42.0,9.0,10.0,38.0,32.0,90.0,53.0,18.0,8.0,20.0,15.0,17.0,23.0,9.0,8.0,4.0,7.0,-15.0,-15.0,-14.0,-18.0
2.0,110.0,2016-04-01,0,ATL,32.0,30.0,12.0,9.0,38.0,30.0,45.0,45.0,27.0,29.0,60.0,65.0,57.0,48.0,11.0,5.0,46.0,43.0,65.0,89.0,20.0,23.0,31.0,26.0,27.0,25.0,9.0,5.0,6.0,8.0,-12.0,-15.0,-23.0,-27.0
12.0,109.0,2015-11-21,1,ATL,38.0,39.0,11.0,11.0,29.0,28.0,54.0,36.0,30.0,21.0,56.0,58.0,51.0,38.0,11.0,12.0,40.0,26.0,84.0,88.0,16.0,22.0,19.0,25.0,27.0,22.0,4.0,10.0,8.0,4.0,-14.0,-12.0,-22.0,-20.0
20.0,107.0,2016-03-31,1,BKN,32.0,19.0,12.0,4.0,38.0,21.0,53.0,42.0,26.0,31.0,49.0,73.0,50.0,55.0,9.0,13.0,41.0,42.0,79.0,62.0,19.0,13.0,24.0,21.0,29.0,26.0,10.0,12.0,7.0,4.0,-17.0,-17.0,-17.0,-19.0
-9.0,95.0,2016-03-24,0,BKN,26.0,36.0,10.0,8.0,38.0,22.0,57.0,49.0,29.0,33.0,51.0,67.0,45.0,46.0,11.0,10.0,34.0,36.0,78.0,74.0,7.0,14.0,9.0,19.0,22.0,28.0,3.0,10.0,2.0,4.0,-14.0,-9.0,-20.0,-16.0
13.0,91.0,2016-01-20,0,BKN,29.0,21.0,5.0,4.0,17.0,19.0,52.0,48.0,31.0,31.0,60.0,65.0,45.0,39.0,6.0,9.0,39.0,30.0,70.0,50.0,14.0,4.0,20.0,8.0,15.0,20.0,6.0,4.0,3.0,4.0,-13.0,-12.0,-13.0,-16.0
2.0,90.0,2015-11-28,1,BKN,33.0,24.0,9.0,4.0,27.0,17.0,43.0,45.0,26.0,29.0,60.0,64.0,49.0,46.0,12.0,8.0,37.0,38.0,65.0,75.0,11.0,18.0,17.0,24.0,20.0,21.0,9.0,9.0,11.0,4.0,-19.0,-16.0,-19.0,-18.0
17.0,120.0,2016-03-05,1,BOS,33.0,44.0,10.0,10.0,30.0,23.0,62.0,47.0,32.0,27.0,52.0,57.0,47.0,37.0,15.0,10.0,32.0,27.0,77.0,70.0,26.0,19.0,34.0,27.0,27.0,17.0,8.0,8.0,4.0,1.0,-15.0,-14.0,-21.0,-22.0
-1.0,103.0,2016-02-05,1,BOS,27.0,35.0,8.0,7.0,30.0,20.0,51.0,46.0,29.0,31.0,57.0,68.0,47.0,49.0,15.0,11.0,32.0,38.0,60.0,84.0,21.0,21.0,35.0,25.0,21.0,21.0,8.0,6.0,6.0,5.0,-14.0,-15.0,-25.0,-27.0
12.0,89.0,2015-12-15,0,BOS,35.0,28.0,8.0,9.0,23.0,32.0,51.0,35.0,28.0,19.0,55.0,55.0,46.0,41.0,6.0,12.0,40.0,29.0,90.0,86.0,9.0,12.0,10.0,14.0,17.0,18.0,5.0,6.0,7.0,6.0,-14.0,-10.0,-17.0,-11.0
9.0,112.0,2016-04-03,1,CHA,55.0,35.0,16.0,9.0,29.0,26.0,54.0,50.0,29.0,25.0,54.0,50.0,46.0,35.0,15.0,11.0,31.0,24.0,46.0,96.0,6.0,26.0,13.0,27.0,34.0,23.0,7.0,15.0,1.0,4.0,-17.0,-15.0,-19.0,-13.0
