x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-29.0,75.0,2016-03-13,0,ATL,21.0,50.0,5.0,15.0,24.0,30.0,44.0,45.0,28.0,25.0,63.0,55.0,38.0,50.0,7.0,9.0,31.0,41.0,57.0,90.0,4.0,9.0,7.0,10.0,24.0,27.0,9.0,11.0,5.0,6.0,-16.0,-15.0,-14.0,-13.0
-6.0,96.0,2016-02-05,0,ATL,42.0,37.0,13.0,10.0,31.0,27.0,42.0,59.0,25.0,29.0,60.0,49.0,53.0,32.0,19.0,3.0,34.0,29.0,78.0,70.0,7.0,14.0,9.0,20.0,23.0,29.0,6.0,10.0,4.0,5.0,-19.0,-15.0,-18.0,-16.0
19.0,111.0,2016-01-28,1,ATL,60.0,25.0,9.0,7.0,15.0,28.0,46.0,47.0,29.0,26.0,63.0,55.0,49.0,32.0,10.0,5.0,39.0,27.0,87.0,91.0,26.0,19.0,30.0,21.0,20.0,20.0,10.0,9.0,8.0,5.0,-16.0,-14.0,-17.0,-22.0
6.0,93.0,2015-12-28,1,ATL,27.0,24.0,7.0,6.0,26.0,25.0,51.0,51.0,31.0,25.0,61.0,49.0,40.0,44.0,11.0,8.0,29.0,36.0,56.0,76.0,10.0,19.0,18.0,25.0,9.0,16.0,16.0,9.0,3.0,6.0,-14.0,-20.0,-20.0,-16.0
24.0,129.0,2016-04-10,1,BKN,41.0,38.0,11.0,14.0,27.0,37.0,63.0,39.0,37.0,21.0,59.0,54.0,58.0,36.0,14.0,11.0,44.0,25.0,82.0,81.0,22.0,21.0,27.0,26.0,34.0,24.0,10.0,12.0,4.0,4.0,-20.0,-15.0,-22.0,-21.0
-10.0,110.0,2016-03-26,0,BKN,46.0,42.0,11.0,5.0,24.0,12.0,49.0,57.0,26.0,37.0,53.0,65.0,31.0,40.0,6.0,7.0,25.0,33.0,83.0,86.0,25.0,31.0,30.0,36.0,24.0,24.0,15.0,13.0,4.0,1.0,-19.0,-20.0,-26.0,-23.0
14.0,114.0,2016-02-03,0,BKN,50.0,30.0,12.0,7.0,24.0,23.0,50.0,49.0,32.0,29.0,64.0,59.0,44.0,41.0,10.0,10.0,34.0,31.0,82.0,68.0,14.0,21.0,17.0,31.0,23.0,25.0,11.0,5.0,5.0,2.0,-15.0,-16.0,-20.0,-20.0
7.0,104.0,2015-12-18,1,BKN,25.0,50.0,7.0,8.0,28.0,16.0,49.0,40.0,30.0,28.0,61.0,70.0,52.0,42.0,14.0,9.0,38.0,33.0,89.0,1.0,23.0,17.0,26.0,17.0,17.0,18.0,4.0,7.0,4.0,6.0,-11.0,-12.0,-15.0,-21.0
5.0,103.0,2016-03-15,1,BOS,46.0,25.0,5.0,8.0,11.0,32.0,47.0,45.0,34.0,28.0,73.0,62.0,45.0,50.0,11.0,17.0,34.0,33.0,71.0,82.0,20.0,18.0,28.0,22.0,18.0,23.0,9.0,6.0,7.0,3.0,-13.0,-13.0,-18.0,-21.0
-9.0,94.0,2016-01-13,0,BOS,17.0,35.0,5.0,9.0,30.0,26.0,52.0,48.0,32.0,31.0,61.0,64.0,48.0,49.0,13.0,14.0,35.0,35.0,75.0,70.0,15.0,14.0,20.0,20.0,18.0,24.0,12.0,7.0,3.0,2.0,-17.0,-19.0,-20.0,-18.0
