x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
4.0,115.0,2016-02-19,0,ATL,40.0,44.0,8.0,16.0,20.0,36.0,53.0,49.0,36.0,25.0,68.0,51.0,46.0,42.0,10.0,8.0,36.0,34.0,68.0,1.0,19.0,13.0,28.0,13.0,27.0,27.0,13.0,7.0,1.0,4.0,-14.0,-21.0,-12.0,-23.0
18.0,105.0,2016-01-31,1,ATL,25.0,23.0,5.0,5.0,20.0,22.0,56.0,46.0,34.0,22.0,61.0,48.0,47.0,31.0,10.0,2.0,37.0,29.0,85.0,88.0,22.0,28.0,26.0,32.0,21.0,13.0,10.0,10.0,4.0,3.0,-18.0,-17.0,-23.0,-23.0
12.0,100.0,2015-12-14,0,ATL,44.0,24.0,7.0,8.0,16.0,33.0,45.0,49.0,33.0,25.0,73.0,51.0,54.0,37.0,15.0,7.0,39.0,30.0,87.0,93.0,13.0,14.0,15.0,15.0,26.0,25.0,6.0,7.0,5.0,4.0,-15.0,-14.0,-16.0,-21.0
-6.0,92.0,2015-11-03,1,ATL,18.0,33.0,5.0,7.0,28.0,21.0,57.0,43.0,33.0,30.0,58.0,69.0,49.0,51.0,13.0,16.0,36.0,35.0,69.0,77.0,11.0,17.0,16.0,22.0,13.0,25.0,10.0,10.0,9.0,1.0,-18.0,-15.0,-21.0,-14.0
11.0,110.0,2016-03-28,1,BKN,31.0,27.0,5.0,3.0,16.0,11.0,63.0,58.0,43.0,38.0,68.0,66.0,32.0,36.0,7.0,10.0,25.0,26.0,75.0,78.0,9.0,14.0,12.0,18.0,25.0,20.0,11.0,8.0,4.0,2.0,-12.0,-20.0,-14.0,-10.0
4.0,102.0,2016-01-26,0,BKN,33.0,50.0,3.0,9.0,9.0,18.0,57.0,51.0,42.0,27.0,74.0,53.0,37.0,32.0,5.0,3.0,32.0,29.0,90.0,74.0,9.0,17.0,10.0,23.0,27.0,24.0,10.0,5.0,4.0,2.0,-12.0,-16.0,-20.0,-15.0
-6.0,105.0,2015-12-28,1,BKN,42.0,52.0,10.0,12.0,24.0,23.0,48.0,41.0,26.0,24.0,54.0,59.0,42.0,50.0,11.0,16.0,31.0,34.0,77.0,75.0,23.0,27.0,30.0,36.0,20.0,20.0,9.0,8.0,8.0,3.0,-14.0,-13.0,-23.0,-24.0
6.0,104.0,2015-12-16,0,BKN,33.0,25.0,7.0,4.0,21.0,16.0,61.0,52.0,33.0,38.0,54.0,73.0,45.0,35.0,8.0,10.0,37.0,25.0,71.0,71.0,17.0,10.0,24.0,14.0,16.0,24.0,4.0,6.0,6.0,3.0,-12.0,-6.0,-13.0,-18.0
-10.0,88.0,2016-04-13,0,BOS,11.0,36.0,2.0,5.0,19.0,14.0,52.0,44.0,36.0,32.0,69.0,72.0,44.0,39.0,14.0,10.0,30.0,29.0,83.0,86.0,10.0,19.0,12.0,22.0,14.0,20.0,5.0,7.0,10.0,3.0,-8.0,-7.0,-21.0,-20.0
-12.0,89.0,2016-02-27,0,BOS,8.0,31.0,1.0,5.0,13.0,16.0,47.0,43.0,35.0,34.0,74.0,80.0,54.0,48.0,14.0,12.0,40.0,36.0,70.0,82.0,16.0,18.0,23.0,22.0,19.0,26.0,7.0,12.0,12.0,6.0,-18.0,-11.0,-19.0,-19.0
-10.0,95.0,2015-11-30,1,BOS,29.0,40.0,5.0,8.0,17.0,20.0,53.0,50.0,31.0,30.0,58.0,60.0,38.0,40.0,11.0,12.0,27.0,28.0,75.0,84.0,18.0,21.0,24.0,25.0,21.0,23.0,9.0,15.0,6.0,3.0,-18.0,-15.0,-19.0,-21.0
-3.0,106.0,2016-03-17,1,CHA,41.0,50.0,7.0,13.0,17.0,26.0,57.0,45.0,33.0,27.0,58.0,60.0,39.0,39.0,6.0,9.0,33.0,30.0,79.0,76.0,19.0,16.0,24.0,21.0,22.0,19.0,5.0,3.0,8.0,0.0,-15.0,-8.0,-17.0,-19.0
3.0,98.0,2016-02-05,0,CHA,0.0,39.0,0.0,10.0,9.0,26.0,51.0,47.0,43.0,26.0,85.0,55.0,48.0,41.0,8.0,3.0,40.0,38.0,67.0,87.0,12.0,13.0,18.0,15.0,20.0,23.0,7.0,5.0,12.0,10.0,-8.0,-12.0,-16.0,-16.0
-18.0,81.0,2015-12-09,0,CHA,29.0,41.0,6.0,11.0,21.0,27.0,43.0,54.0,23.0,29.0,54.0,54.0,43.0,40.0,7.0,3.0,36.0,37.0,71.0,47.0,17.0,8.0,24.0,17.0,17.0,27.0,3.0,9.0,8.0,5.0,-17.0,-10.0,-14.0,-21.0
10.0,104.0,2015-10-28,1,CHA,60.0,25.0,12.0,6.0,20.0,24.0,45.0,45.0,24.0,27.0,53.0,60.0,41.0,43.0,2.0,11.0,39.0,32.0,95.0,76.0,20.0,22.0,21.0,29.0,23.0,16.0,5.0,4.0,7.0,1.0,-13.0,-8.0,-25.0,-16.0
8.0,106.0,2016-04-07,1,CHI,29.0,21.0,4.0,3.0,14.0,14.0,51.0,50.0,40.0,32.0,78.0,64.0,47.0,41.0,15.0,12.0,32.0,29.0,82.0,89.0,14.0,25.0,17.0,28.0,16.0,18.0,8.0,6.0,2.0,7.0,-10.0,-12.0,-20.0,-12.0
