x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
4.0,99.0,2015-11-25,1,ATL,43.0,25.0,9.0,8.0,21.0,32.0,41.0,46.0,25.0,23.0,61.0,50.0,45.0,53.0,7.0,15.0,38.0,38.0,76.0,71.0,22.0,25.0,29.0,35.0,22.0,14.0,9.0,10.0,4.0,7.0,-11.0,-14.0,-23.0,-20.0
10.0,117.0,2015-11-09,0,ATL,47.0,42.0,7.0,13.0,15.0,31.0,60.0,56.0,39.0,31.0,65.0,55.0,40.0,27.0,8.0,4.0,32.0,23.0,82.0,86.0,18.0,6.0,22.0,7.0,27.0,30.0,10.0,13.0,5.0,6.0,-19.0,-17.0,-18.0,-19.0
14.0,132.0,2016-03-05,1,BKN,56.0,35.0,10.0,9.0,18.0,26.0,72.0,55.0,42.0,36.0,58.0,66.0,30.0,37.0,4.0,17.0,26.0,20.0,82.0,73.0,18.0,19.0,22.0,26.0,36.0,19.0,8.0,7.0,8.0,4.0,-12.0,-15.0,-26.0,-21.0
15.0,100.0,2015-12-20,0,BKN,25.0,24.0,3.0,5.0,12.0,21.0,51.0,47.0,35.0,27.0,68.0,57.0,46.0,39.0,7.0,6.0,39.0,33.0,88.0,80.0,21.0,16.0,24.0,20.0,29.0,26.0,12.0,7.0,5.0,2.0,-13.0,-14.0,-21.0,-20.0
2.0,124.0,2016-02-22,1,BOS,53.0,36.0,8.0,10.0,15.0,28.0,51.0,53.0,35.0,39.0,68.0,73.0,51.0,38.0,15.0,10.0,36.0,28.0,75.0,82.0,30.0,14.0,40.0,17.0,24.0,33.0,5.0,13.0,6.0,2.0,-17.0,-11.0,-17.0,-27.0
-14.0,99.0,2015-12-21,0,BOS,15.0,48.0,2.0,12.0,13.0,25.0,52.0,53.0,34.0,34.0,66.0,64.0,36.0,50.0,6.0,12.0,30.0,38.0,78.0,56.0,25.0,9.0,32.0,16.0,20.0,34.0,9.0,6.0,6.0,9.0,-12.0,-16.0,-19.0,-22.0
-5.0,103.0,2016-03-07,0,CHA,27.0,40.0,4.0,12.0,15.0,30.0,54.0,48.0,35.0,29.0,65.0,60.0,43.0,42.0,5.0,6.0,38.0,36.0,88.0,82.0,21.0,14.0,24.0,17.0,22.0,20.0,10.0,8.0,6.0,7.0,-15.0,-13.0,-19.0,-17.0
-9.0,95.0,2015-11-10,1,CHA,47.0,31.0,9.0,8.0,19.0,26.0,44.0,58.0,27.0,30.0,61.0,52.0,48.0,34.0,10.0,4.0,38.0,30.0,74.0,74.0,14.0,20.0,19.0,27.0,25.0,18.0,6.0,8.0,4.0,5.0,-22.0,-16.0,-21.0,-20.0
7.0,112.0,2016-02-06,1,CHI,8.0,40.0,1.0,8.0,12.0,20.0,59.0,49.0,44.0,32.0,75.0,65.0,45.0,31.0,14.0,9.0,31.0,22.0,96.0,90.0,21.0,17.0,22.0,19.0,24.0,27.0,7.0,5.0,4.0,4.0,-9.0,-11.0,-15.0,-17.0
9.0,102.0,2015-11-07,0,CHI,44.0,34.0,7.0,11.0,16.0,32.0,40.0,36.0,32.0,22.0,80.0,61.0,58.0,50.0,14.0,10.0,44.0,40.0,63.0,70.0,17.0,16.0,27.0,23.0,26.0,20.0,8.0,7.0,7.0,6.0,-15.0,-18.0,-23.0,-26.0
