x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
13.0,107.0,2015-12-10,1,ATL,53.0,36.0,9.0,10.0,17.0,28.0,48.0,50.0,30.0,25.0,63.0,50.0,52.0,34.0,10.0,5.0,42.0,29.0,77.0,61.0,20.0,14.0,26.0,23.0,24.0,21.0,6.0,9.0,2.0,7.0,-14.0,-9.0,-16.0,-19.0
-6.0,100.0,2015-11-30,0,ATL,37.0,36.0,7.0,10.0,19.0,28.0,41.0,47.0,30.0,29.0,74.0,62.0,48.0,51.0,13.0,14.0,35.0,37.0,86.0,90.0,19.0,18.0,22.0,20.0,19.0,23.0,8.0,9.0,8.0,8.0,-11.0,-12.0,-19.0,-15.0
-10.0,106.0,2016-01-24,0,BKN,31.0,47.0,8.0,8.0,26.0,17.0,52.0,48.0,35.0,37.0,67.0,77.0,46.0,49.0,14.0,18.0,32.0,31.0,63.0,72.0,12.0,18.0,19.0,25.0,20.0,24.0,7.0,10.0,5.0,7.0,-14.0,-11.0,-19.0,-17.0
11.0,110.0,2015-11-25,1,BKN,42.0,23.0,10.0,3.0,24.0,13.0,57.0,49.0,31.0,40.0,54.0,81.0,42.0,45.0,4.0,11.0,38.0,34.0,86.0,83.0,18.0,10.0,21.0,12.0,26.0,20.0,11.0,10.0,7.0,3.0,-19.0,-17.0,-11.0,-19.0
21.0,130.0,2016-03-16,0,BOS,41.0,26.0,12.0,5.0,29.0,19.0,52.0,47.0,35.0,35.0,67.0,74.0,53.0,42.0,16.0,16.0,37.0,26.0,80.0,89.0,24.0,24.0,30.0,27.0,23.0,17.0,7.0,4.0,5.0,4.0,-10.0,-11.0,-24.0,-22.0
-15.0,85.0,2015-11-15,1,BOS,24.0,39.0,6.0,9.0,25.0,23.0,42.0,51.0,22.0,30.0,52.0,59.0,34.0,47.0,9.0,12.0,25.0,35.0,79.0,65.0,23.0,13.0,29.0,20.0,18.0,25.0,10.0,12.0,6.0,7.0,-18.0,-18.0,-20.0,-26.0
14.0,109.0,2016-01-20,1,CHA,38.0,33.0,9.0,9.0,24.0,27.0,51.0,46.0,30.0,25.0,59.0,54.0,51.0,34.0,14.0,6.0,37.0,28.0,73.0,86.0,22.0,18.0,30.0,21.0,28.0,17.0,9.0,8.0,3.0,2.0,-20.0,-16.0,-16.0,-21.0
19.0,109.0,2016-01-02,0,CHA,39.0,27.0,9.0,6.0,23.0,22.0,46.0,37.0,26.0,23.0,56.0,62.0,53.0,34.0,10.0,7.0,43.0,27.0,81.0,77.0,30.0,26.0,37.0,34.0,20.0,18.0,2.0,7.0,15.0,7.0,-12.0,-4.0,-27.0,-27.0
-9.0,96.0,2015-12-25,1,CHI,25.0,39.0,6.0,7.0,24.0,18.0,43.0,45.0,31.0,33.0,72.0,74.0,48.0,53.0,18.0,16.0,30.0,37.0,70.0,90.0,16.0,18.0,23.0,20.0,20.0,22.0,12.0,8.0,3.0,6.0,-13.0,-16.0,-15.0,-19.0
-6.0,98.0,2015-11-05,0,CHI,39.0,39.0,5.0,7.0,13.0,18.0,46.0,46.0,33.0,33.0,71.0,72.0,44.0,47.0,9.0,11.0,35.0,36.0,85.0,81.0,17.0,17.0,20.0,21.0,21.0,20.0,2.0,3.0,8.0,7.0,-9.0,-6.0,-18.0,-17.0
