x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
7.0,117.0,2016-02-08,0,ATL,31.0,41.0,9.0,12.0,29.0,29.0,58.0,49.0,37.0,31.0,64.0,63.0,47.0,47.0,6.0,8.0,41.0,39.0,73.0,60.0,16.0,12.0,22.0,20.0,37.0,31.0,11.0,9.0,8.0,4.0,-13.0,-14.0,-22.0,-20.0
2.0,96.0,2016-02-07,1,ATL,27.0,46.0,7.0,13.0,26.0,28.0,54.0,35.0,32.0,22.0,59.0,63.0,43.0,50.0,8.0,18.0,35.0,32.0,92.0,73.0,11.0,11.0,12.0,15.0,24.0,22.0,9.0,7.0,10.0,7.0,-18.0,-16.0,-13.0,-13.0
-17.0,81.0,2016-01-18,0,ATL,27.0,47.0,6.0,9.0,22.0,19.0,37.0,52.0,24.0,32.0,65.0,61.0,42.0,47.0,11.0,4.0,31.0,43.0,75.0,70.0,15.0,7.0,20.0,10.0,21.0,31.0,11.0,9.0,5.0,6.0,-13.0,-17.0,-13.0,-20.0
-3.0,100.0,2015-12-20,1,ATL,33.0,50.0,4.0,11.0,12.0,22.0,49.0,50.0,34.0,28.0,69.0,56.0,36.0,41.0,8.0,8.0,28.0,33.0,83.0,70.0,20.0,14.0,24.0,20.0,27.0,25.0,16.0,6.0,5.0,7.0,-13.0,-19.0,-22.0,-21.0
34.0,139.0,2016-03-29,1,BKN,52.0,36.0,14.0,5.0,27.0,14.0,66.0,49.0,42.0,32.0,64.0,65.0,35.0,39.0,5.0,14.0,30.0,25.0,68.0,67.0,13.0,26.0,19.0,39.0,40.0,19.0,11.0,7.0,5.0,5.0,-10.0,-18.0,-29.0,-18.0
6.0,83.0,2016-01-08,0,BKN,48.0,32.0,13.0,7.0,27.0,22.0,36.0,43.0,20.0,22.0,56.0,51.0,49.0,41.0,13.0,10.0,36.0,31.0,67.0,60.0,4.0,12.0,6.0,20.0,25.0,17.0,7.0,4.0,4.0,2.0,-14.0,-15.0,-22.0,-14.0
7.0,100.0,2015-12-30,1,BKN,35.0,15.0,9.0,3.0,26.0,20.0,48.0,51.0,27.0,32.0,56.0,63.0,50.0,37.0,17.0,11.0,33.0,26.0,91.0,91.0,19.0,20.0,21.0,22.0,21.0,23.0,6.0,12.0,4.0,6.0,-16.0,-12.0,-18.0,-18.0
23.0,105.0,2015-12-14,0,BKN,43.0,37.0,9.0,7.0,21.0,19.0,58.0,39.0,32.0,24.0,55.0,61.0,43.0,39.0,7.0,9.0,36.0,30.0,70.0,81.0,14.0,13.0,20.0,16.0,24.0,23.0,12.0,5.0,3.0,0.0,-16.0,-17.0,-18.0,-19.0
-11.0,96.0,2016-03-21,0,BOS,28.0,32.0,5.0,7.0,18.0,22.0,45.0,52.0,34.0,33.0,75.0,63.0,45.0,46.0,14.0,9.0,31.0,37.0,68.0,83.0,13.0,20.0,19.0,24.0,15.0,22.0,9.0,8.0,7.0,6.0,-11.0,-14.0,-20.0,-16.0
5.0,119.0,2016-01-31,1,BOS,42.0,35.0,10.0,16.0,24.0,46.0,59.0,49.0,34.0,23.0,58.0,47.0,50.0,41.0,12.0,13.0,38.0,28.0,60.0,80.0,21.0,20.0,35.0,25.0,27.0,17.0,7.0,9.0,6.0,2.0,-15.0,-10.0,-24.0,-22.0
-19.0,94.0,2016-01-29,0,BOS,35.0,42.0,7.0,10.0,20.0,24.0,42.0,53.0,25.0,33.0,59.0,62.0,41.0,46.0,9.0,8.0,32.0,38.0,79.0,81.0,23.0,17.0,29.0,21.0,17.0,28.0,9.0,8.0,4.0,6.0,-16.0,-12.0,-18.0,-20.0
19.0,110.0,2015-11-29,1,BOS,36.0,19.0,9.0,5.0,25.0,27.0,53.0,51.0,36.0,31.0,68.0,61.0,54.0,34.0,17.0,9.0,37.0,25.0,69.0,70.0,11.0,14.0,16.0,20.0,24.0,28.0,6.0,7.0,7.0,6.0,-13.0,-11.0,-20.0,-16.0
-14.0,103.0,2016-04-13,0,CHA,30.0,38.0,8.0,11.0,27.0,29.0,53.0,63.0,34.0,36.0,64.0,57.0,39.0,46.0,5.0,5.0,34.0,41.0,61.0,63.0,11.0,12.0,18.0,19.0,22.0,32.0,7.0,6.0,4.0,5.0,-10.0,-9.0,-18.0,-14.0
-8.0,99.0,2016-03-16,0,CHA,44.0,30.0,11.0,11.0,25.0,37.0,41.0,46.0,24.0,29.0,58.0,63.0,40.0,59.0,2.0,15.0,38.0,44.0,86.0,76.0,18.0,16.0,21.0,21.0,23.0,23.0,4.0,3.0,9.0,4.0,-8.0,-8.0,-20.0,-12.0
-4.0,116.0,2016-01-22,1,CHA,48.0,37.0,11.0,10.0,23.0,27.0,50.0,47.0,34.0,35.0,68.0,74.0,48.0,48.0,7.0,14.0,41.0,34.0,79.0,91.0,15.0,20.0,19.0,22.0,31.0,23.0,7.0,10.0,9.0,4.0,-19.0,-10.0,-25.0,-19.0
15.0,113.0,2015-12-16,1,CHA,58.0,41.0,14.0,14.0,24.0,34.0,55.0,49.0,29.0,22.0,53.0,45.0,40.0,33.0,4.0,7.0,36.0,26.0,87.0,80.0,13.0,12.0,15.0,15.0,28.0,23.0,12.0,12.0,4.0,3.0,-17.0,-16.0,-15.0,-19.0
22.0,111.0,2016-03-26,1,CHI,37.0,25.0,7.0,6.0,19.0,24.0,59.0,47.0,41.0,30.0,70.0,64.0,50.0,40.0,12.0,11.0,38.0,29.0,67.0,65.0,8.0,11.0,12.0,17.0,32.0,20.0,5.0,2.0,7.0,3.0,-13.0,-13.0,-21.0,-16.0
13.0,102.0,2016-03-02,1,CHI,33.0,32.0,7.0,6.0,21.0,19.0,42.0,40.0,32.0,32.0,76.0,80.0,59.0,48.0,8.0,5.0,51.0,43.0,77.0,64.0,17.0,7.0,22.0,11.0,25.0,24.0,5.0,6.0,6.0,2.0,-10.0,-7.0,-14.0,-17.0
-5.0,87.0,2015-11-01,0,CHI,30.0,25.0,7.0,7.0,23.0,28.0,42.0,44.0,28.0,26.0,67.0,59.0,43.0,47.0,12.0,11.0,31.0,36.0,59.0,86.0,10.0,19.0,17.0,22.0,21.0,23.0,7.0,7.0,11.0,8.0,-16.0,-13.0,-19.0,-16.0
-6.0,103.0,2016-03-18,1,CLE,50.0,46.0,11.0,13.0,22.0,28.0,43.0,52.0,26.0,25.0,60.0,48.0,36.0,41.0,9.0,9.0,27.0,32.0,82.0,74.0,18.0,20.0,22.0,27.0,24.0,23.0,12.0,7.0,4.0,4.0,-13.0,-19.0,-24.0,-21.0
-25.0,79.0,2016-01-02,0,CLE,24.0,32.0,6.0,12.0,25.0,37.0,45.0,49.0,23.0,22.0,51.0,45.0,45.0,53.0,5.0,12.0,40.0,41.0,88.0,62.0,15.0,24.0,17.0,39.0,16.0,24.0,1.0,6.0,2.0,1.0,-14.0,-4.0,-29.0,-17.0
-35.0,76.0,2015-12-11,1,CLE,27.0,52.0,6.0,11.0,22.0,21.0,44.0,59.0,22.0,30.0,50.0,51.0,30.0,45.0,6.0,9.0,24.0,36.0,70.0,67.0,14.0,18.0,20.0,27.0,16.0,28.0,8.0,12.0,3.0,0.0,-19.0,-18.0,-24.0,-19.0
-14.0,103.0,2015-11-23,0,CLE,46.0,51.0,10.0,18.0,22.0,35.0,51.0,54.0,30.0,25.0,59.0,46.0,39.0,41.0,9.0,8.0,30.0,33.0,62.0,59.0,13.0,13.0,21.0,22.0,25.0,34.0,6.0,5.0,6.0,3.0,-10.0,-10.0,-21.0,-15.0
-13.0,108.0,2016-03-01,0,DAL,30.0,47.0,9.0,9.0,30.0,19.0,52.0,59.0,32.0,34.0,61.0,58.0,45.0,36.0,18.0,6.0,27.0,30.0,85.0,84.0,17.0,26.0,20.0,31.0,29.0,27.0,11.0,7.0,4.0,4.0,-16.0,-15.0,-29.0,-19.0
6.0,110.0,2016-02-19,1,DAL,37.0,46.0,13.0,19.0,35.0,41.0,42.0,38.0,28.0,18.0,67.0,48.0,63.0,45.0,14.0,6.0,49.0,39.0,88.0,61.0,15.0,11.0,17.0,18.0,25.0,23.0,10.0,8.0,4.0,6.0,-12.0,-18.0,-20.0,-12.0
6.0,116.0,2016-03-15,1,DEN,32.0,38.0,8.0,9.0,25.0,24.0,64.0,55.0,36.0,31.0,56.0,56.0,35.0,37.0,6.0,7.0,29.0,30.0,80.0,88.0,20.0,21.0,25.0,24.0,28.0,23.0,7.0,8.0,4.0,1.0,-13.0,-16.0,-20.0,-19.0
11.0,85.0,2015-12-08,0,DEN,6.0,29.0,1.0,7.0,16.0,24.0,51.0,35.0,37.0,21.0,72.0,60.0,54.0,47.0,10.0,10.0,44.0,37.0,80.0,55.0,8.0,11.0,10.0,20.0,14.0,19.0,9.0,11.0,8.0,7.0,-20.0,-17.0,-19.0,-16.0
-4.0,104.0,2016-04-06,1,DET,27.0,41.0,4.0,11.0,15.0,27.0,52.0,47.0,39.0,28.0,75.0,59.0,48.0,44.0,12.0,12.0,36.0,32.0,74.0,61.0,14.0,19.0,19.0,31.0,25.0,24.0,7.0,9.0,8.0,6.0,-14.0,-12.0,-23.0,-16.0
-16.0,102.0,2016-03-23,0,DET,32.0,46.0,8.0,11.0,25.0,24.0,42.0,57.0,31.0,32.0,73.0,56.0,44.0,45.0,17.0,9.0,27.0,36.0,84.0,84.0,16.0,21.0,19.0,25.0,24.0,30.0,9.0,4.0,3.0,5.0,-6.0,-15.0,-19.0,-15.0
-26.0,89.0,2016-01-04,0,DET,30.0,47.0,6.0,14.0,20.0,30.0,49.0,50.0,30.0,29.0,61.0,58.0,30.0,54.0,5.0,18.0,25.0,36.0,1.0,71.0,11.0,15.0,11.0,21.0,17.0,25.0,6.0,6.0,7.0,6.0,-8.0,-10.0,-16.0,-18.0
-6.0,113.0,2016-03-07,0,GSW,24.0,46.0,5.0,16.0,21.0,35.0,51.0,53.0,35.0,26.0,69.0,49.0,42.0,50.0,9.0,10.0,33.0,40.0,82.0,70.0,28.0,19.0,34.0,27.0,24.0,27.0,14.0,13.0,3.0,7.0,-15.0,-24.0,-21.0,-26.0
-16.0,114.0,2016-02-25,1,GSW,39.0,52.0,10.0,13.0,26.0,25.0,48.0,63.0,31.0,40.0,64.0,63.0,37.0,42.0,8.0,8.0,29.0,34.0,79.0,69.0,22.0,11.0,28.0,16.0,23.0,35.0,11.0,9.0,4.0,4.0,-15.0,-20.0,-17.0,-21.0
3.0,104.0,2015-12-23,1,HOU,44.0,24.0,7.0,7.0,16.0,29.0,54.0,63.0,37.0,34.0,68.0,54.0,42.0,36.0,11.0,9.0,31.0,27.0,69.0,71.0,9.0,12.0,13.0,17.0,26.0,19.0,5.0,5.0,3.0,6.0,-12.0,-11.0,-15.0,-18.0
