x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-38.0,86.0,2016-02-03,1,ATL,22.0,50.0,6.0,10.0,27.0,20.0,51.0,53.0,29.0,38.0,57.0,72.0,38.0,52.0,6.0,11.0,32.0,41.0,71.0,72.0,10.0,18.0,14.0,25.0,27.0,28.0,7.0,13.0,10.0,7.0,-23.0,-18.0,-20.0,-12.0
-28.0,98.0,2016-01-07,1,ATL,28.0,42.0,5.0,13.0,18.0,31.0,50.0,59.0,34.0,36.0,68.0,61.0,43.0,48.0,14.0,14.0,29.0,34.0,60.0,79.0,15.0,15.0,25.0,19.0,21.0,36.0,9.0,18.0,4.0,6.0,-22.0,-16.0,-17.0,-23.0
-21.0,106.0,2015-12-16,0,ATL,46.0,48.0,12.0,10.0,26.0,21.0,55.0,67.0,27.0,38.0,49.0,57.0,32.0,25.0,7.0,2.0,25.0,23.0,67.0,88.0,16.0,21.0,24.0,24.0,20.0,32.0,5.0,11.0,2.0,7.0,-22.0,-12.0,-21.0,-21.0
-17.0,114.0,2016-03-15,0,BKN,37.0,42.0,11.0,10.0,30.0,24.0,52.0,56.0,30.0,37.0,58.0,66.0,34.0,52.0,9.0,14.0,25.0,38.0,81.0,87.0,21.0,27.0,26.0,31.0,26.0,23.0,6.0,12.0,4.0,3.0,-17.0,-12.0,-21.0,-20.0
6.0,95.0,2016-03-11,1,BKN,32.0,29.0,9.0,5.0,28.0,17.0,52.0,40.0,29.0,28.0,56.0,70.0,49.0,41.0,11.0,11.0,38.0,30.0,67.0,82.0,10.0,18.0,15.0,22.0,25.0,22.0,5.0,8.0,6.0,4.0,-16.0,-12.0,-20.0,-14.0
5.0,103.0,2016-02-06,1,BKN,35.0,33.0,10.0,5.0,29.0,15.0,54.0,49.0,28.0,30.0,52.0,61.0,42.0,36.0,13.0,9.0,29.0,27.0,77.0,89.0,17.0,23.0,22.0,26.0,17.0,19.0,12.0,5.0,8.0,5.0,-14.0,-19.0,-21.0,-17.0
-9.0,91.0,2015-12-10,0,BKN,13.0,43.0,4.0,6.0,31.0,14.0,54.0,52.0,30.0,31.0,56.0,60.0,38.0,43.0,13.0,9.0,25.0,34.0,86.0,74.0,19.0,20.0,22.0,27.0,17.0,22.0,14.0,5.0,6.0,1.0,-10.0,-19.0,-22.0,-20.0
-15.0,105.0,2016-03-20,1,BOS,38.0,42.0,8.0,10.0,21.0,24.0,44.0,51.0,31.0,36.0,71.0,70.0,40.0,53.0,12.0,14.0,28.0,39.0,70.0,86.0,19.0,18.0,27.0,21.0,28.0,28.0,5.0,8.0,7.0,3.0,-11.0,-13.0,-19.0,-24.0
-20.0,92.0,2016-01-24,1,BOS,31.0,44.0,8.0,11.0,26.0,25.0,43.0,44.0,27.0,32.0,63.0,72.0,47.0,51.0,13.0,15.0,34.0,36.0,70.0,79.0,14.0,15.0,20.0,19.0,17.0,29.0,12.0,14.0,6.0,2.0,-23.0,-16.0,-20.0,-17.0
-4.0,80.0,2015-11-25,0,BOS,26.0,31.0,7.0,9.0,27.0,29.0,43.0,35.0,24.0,22.0,56.0,62.0,50.0,54.0,7.0,11.0,43.0,43.0,73.0,72.0,11.0,13.0,15.0,18.0,12.0,18.0,11.0,7.0,14.0,6.0,-18.0,-16.0,-21.0,-12.0
-17.0,95.0,2015-10-28,0,BOS,32.0,33.0,7.0,8.0,22.0,24.0,44.0,51.0,27.0,31.0,62.0,61.0,47.0,41.0,15.0,10.0,32.0,31.0,87.0,96.0,20.0,26.0,23.0,27.0,12.0,31.0,11.0,10.0,6.0,7.0,-22.0,-17.0,-22.0,-23.0
-9.0,91.0,2016-04-01,0,CHA,26.0,26.0,10.0,7.0,39.0,27.0,45.0,51.0,23.0,29.0,51.0,57.0,48.0,55.0,9.0,8.0,39.0,47.0,71.0,78.0,15.0,21.0,21.0,27.0,24.0,23.0,5.0,9.0,7.0,6.0,-9.0,-11.0,-20.0,-14.0
-15.0,85.0,2016-03-29,1,CHA,36.0,28.0,16.0,7.0,44.0,25.0,27.0,50.0,14.0,31.0,52.0,62.0,45.0,65.0,9.0,9.0,36.0,56.0,90.0,94.0,9.0,17.0,10.0,18.0,20.0,26.0,8.0,6.0,5.0,6.0,-10.0,-15.0,-18.0,-7.0
-20.0,99.0,2016-03-02,1,CHA,39.0,40.0,13.0,10.0,33.0,25.0,40.0,54.0,21.0,30.0,52.0,56.0,38.0,50.0,7.0,8.0,31.0,42.0,69.0,83.0,18.0,29.0,26.0,35.0,23.0,20.0,8.0,9.0,5.0,7.0,-14.0,-12.0,-24.0,-21.0
-25.0,88.0,2015-11-20,0,CHA,31.0,48.0,8.0,12.0,26.0,25.0,45.0,50.0,24.0,28.0,53.0,56.0,42.0,41.0,9.0,5.0,33.0,36.0,73.0,96.0,16.0,21.0,22.0,22.0,21.0,25.0,5.0,7.0,6.0,10.0,-17.0,-11.0,-18.0,-21.0
-10.0,105.0,2016-04-13,0,CHI,49.0,63.0,17.0,15.0,35.0,24.0,43.0,41.0,20.0,24.0,46.0,59.0,31.0,53.0,4.0,16.0,27.0,37.0,78.0,82.0,14.0,22.0,18.0,27.0,28.0,27.0,10.0,8.0,7.0,8.0,-13.0,-17.0,-24.0,-13.0
-4.0,111.0,2016-01-14,1,CHI,44.0,41.0,12.0,7.0,27.0,17.0,45.0,48.0,30.0,34.0,66.0,71.0,34.0,53.0,11.0,17.0,23.0,36.0,75.0,84.0,15.0,26.0,20.0,31.0,23.0,17.0,13.0,9.0,5.0,2.0,-12.0,-23.0,-27.0,-20.0
-19.0,96.0,2015-12-14,0,CHI,36.0,36.0,11.0,8.0,31.0,22.0,44.0,56.0,27.0,35.0,61.0,63.0,36.0,53.0,9.0,10.0,27.0,43.0,69.0,81.0,9.0,21.0,13.0,26.0,19.0,28.0,6.0,7.0,8.0,8.0,-11.0,-13.0,-17.0,-15.0
