x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-6.0,98.0,2016-01-20,1,ATL,29.0,42.0,9.0,10.0,31.0,24.0,51.0,46.0,32.0,29.0,63.0,63.0,50.0,43.0,13.0,10.0,37.0,33.0,64.0,70.0,7.0,16.0,11.0,23.0,23.0,25.0,5.0,7.0,4.0,3.0,-12.0,-13.0,-18.0,-13.0
-9.0,97.0,2015-12-21,0,ATL,21.0,31.0,5.0,9.0,24.0,29.0,58.0,58.0,33.0,28.0,57.0,48.0,50.0,31.0,14.0,2.0,36.0,29.0,73.0,82.0,16.0,23.0,22.0,28.0,24.0,21.0,5.0,8.0,4.0,1.0,-18.0,-10.0,-20.0,-17.0
8.0,112.0,2016-02-23,1,BKN,44.0,25.0,10.0,3.0,23.0,12.0,53.0,51.0,30.0,40.0,57.0,78.0,40.0,47.0,7.0,12.0,33.0,35.0,88.0,79.0,22.0,15.0,25.0,19.0,24.0,18.0,6.0,10.0,6.0,2.0,-15.0,-13.0,-18.0,-20.0
12.0,116.0,2016-01-15,0,BKN,43.0,42.0,15.0,8.0,35.0,19.0,55.0,45.0,32.0,30.0,58.0,66.0,42.0,46.0,12.0,16.0,30.0,30.0,64.0,71.0,7.0,20.0,11.0,28.0,26.0,22.0,7.0,6.0,5.0,5.0,-9.0,-12.0,-18.0,-10.0
7.0,116.0,2016-03-31,1,BOS,41.0,38.0,14.0,9.0,34.0,24.0,48.0,44.0,27.0,28.0,56.0,64.0,50.0,48.0,15.0,16.0,35.0,32.0,74.0,77.0,20.0,26.0,27.0,34.0,26.0,20.0,9.0,12.0,10.0,6.0,-15.0,-15.0,-20.0,-25.0
-23.0,93.0,2016-03-02,0,BOS,38.0,27.0,11.0,7.0,29.0,26.0,42.0,44.0,23.0,36.0,55.0,81.0,48.0,57.0,12.0,19.0,36.0,38.0,70.0,96.0,14.0,23.0,20.0,24.0,15.0,20.0,4.0,9.0,7.0,8.0,-14.0,-5.0,-21.0,-16.0
18.0,109.0,2016-01-29,1,CHA,35.0,35.0,7.0,10.0,20.0,29.0,53.0,41.0,38.0,21.0,72.0,51.0,51.0,47.0,13.0,14.0,38.0,33.0,75.0,68.0,12.0,19.0,16.0,28.0,24.0,17.0,10.0,9.0,4.0,4.0,-11.0,-16.0,-21.0,-12.0
-12.0,94.0,2015-11-15,0,CHA,24.0,29.0,5.0,9.0,21.0,31.0,44.0,62.0,30.0,32.0,68.0,52.0,46.0,37.0,16.0,7.0,30.0,30.0,91.0,79.0,19.0,15.0,21.0,19.0,20.0,29.0,5.0,6.0,3.0,9.0,-12.0,-11.0,-25.0,-16.0
8.0,103.0,2016-02-27,0,CHI,24.0,32.0,5.0,7.0,21.0,22.0,50.0,44.0,33.0,32.0,66.0,72.0,47.0,50.0,8.0,10.0,39.0,40.0,82.0,83.0,22.0,10.0,27.0,12.0,20.0,33.0,6.0,4.0,7.0,6.0,-10.0,-9.0,-17.0,-21.0
-5.0,88.0,2015-11-24,1,CHI,27.0,39.0,6.0,7.0,22.0,18.0,38.0,38.0,25.0,26.0,66.0,68.0,55.0,44.0,16.0,6.0,39.0,38.0,74.0,87.0,20.0,20.0,27.0,23.0,18.0,19.0,5.0,6.0,9.0,3.0,-14.0,-10.0,-21.0,-18.0
29.0,105.0,2015-12-26,1,CLE,41.0,36.0,9.0,11.0,22.0,31.0,48.0,37.0,32.0,17.0,67.0,46.0,49.0,42.0,10.0,9.0,39.0,33.0,74.0,60.0,14.0,9.0,19.0,15.0,28.0,21.0,9.0,4.0,3.0,2.0,-8.0,-17.0,-12.0,-20.0
