x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
25.0,103.0,2015-12-12,0,ATL,50.0,21.0,10.0,5.0,20.0,24.0,48.0,45.0,26.0,25.0,54.0,56.0,49.0,33.0,6.0,7.0,43.0,26.0,96.0,81.0,21.0,13.0,22.0,16.0,26.0,21.0,11.0,15.0,2.0,3.0,-23.0,-17.0,-16.0,-15.0
20.0,108.0,2015-11-28,1,ATL,53.0,23.0,9.0,6.0,17.0,26.0,46.0,51.0,31.0,31.0,68.0,61.0,49.0,43.0,12.0,12.0,37.0,31.0,95.0,62.0,19.0,8.0,20.0,13.0,25.0,28.0,11.0,9.0,9.0,5.0,-16.0,-18.0,-14.0,-17.0
27.0,106.0,2016-01-11,0,BKN,31.0,17.0,4.0,2.0,13.0,12.0,58.0,51.0,40.0,31.0,69.0,61.0,40.0,30.0,10.0,5.0,30.0,25.0,74.0,85.0,14.0,11.0,19.0,13.0,27.0,15.0,8.0,5.0,4.0,3.0,-12.0,-15.0,-15.0,-18.0
27.0,102.0,2015-10-30,1,BKN,41.0,31.0,9.0,5.0,22.0,16.0,48.0,43.0,31.0,26.0,64.0,61.0,56.0,32.0,12.0,2.0,44.0,30.0,1.0,53.0,13.0,8.0,13.0,15.0,23.0,17.0,7.0,6.0,4.0,6.0,-18.0,-15.0,-16.0,-17.0
3.0,108.0,2015-12-05,1,BOS,29.0,41.0,5.0,12.0,17.0,29.0,58.0,47.0,39.0,27.0,67.0,57.0,48.0,39.0,12.0,11.0,36.0,28.0,68.0,68.0,15.0,15.0,22.0,22.0,26.0,22.0,3.0,9.0,3.0,3.0,-14.0,-14.0,-22.0,-22.0
8.0,95.0,2015-11-01,0,BOS,26.0,21.0,5.0,6.0,19.0,29.0,48.0,42.0,31.0,29.0,64.0,69.0,51.0,45.0,10.0,16.0,41.0,29.0,72.0,79.0,18.0,11.0,25.0,14.0,22.0,21.0,10.0,10.0,6.0,5.0,-18.0,-16.0,-16.0,-23.0
-3.0,88.0,2016-03-21,0,CHA,24.0,42.0,4.0,8.0,17.0,19.0,48.0,40.0,33.0,27.0,69.0,68.0,47.0,46.0,9.0,10.0,38.0,36.0,77.0,68.0,10.0,13.0,13.0,19.0,23.0,18.0,9.0,11.0,12.0,5.0,-16.0,-14.0,-17.0,-12.0
20.0,114.0,2015-11-07,1,CHA,43.0,32.0,9.0,6.0,21.0,19.0,60.0,52.0,36.0,28.0,60.0,54.0,42.0,33.0,6.0,6.0,36.0,27.0,65.0,65.0,15.0,20.0,23.0,31.0,35.0,15.0,11.0,7.0,3.0,0.0,-12.0,-15.0,-26.0,-18.0
8.0,109.0,2016-03-10,1,CHI,35.0,50.0,6.0,11.0,17.0,22.0,50.0,44.0,38.0,28.0,76.0,64.0,40.0,50.0,9.0,11.0,31.0,39.0,79.0,92.0,15.0,12.0,19.0,13.0,29.0,23.0,14.0,5.0,4.0,5.0,-8.0,-21.0,-12.0,-18.0
-3.0,89.0,2015-11-30,0,CHI,14.0,38.0,2.0,6.0,14.0,16.0,46.0,44.0,35.0,31.0,76.0,70.0,47.0,51.0,12.0,12.0,35.0,39.0,72.0,60.0,13.0,12.0,18.0,20.0,20.0,25.0,5.0,4.0,4.0,6.0,-9.0,-10.0,-17.0,-21.0
