x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
28.0,114.0,2016-01-16,1,BKN,28.0,30.0,8.0,6.0,29.0,20.0,72.0,48.0,36.0,28.0,50.0,58.0,40.0,36.0,5.0,7.0,35.0,29.0,75.0,63.0,18.0,12.0,24.0,19.0,34.0,22.0,14.0,5.0,5.0,3.0,-10.0,-17.0,-20.0,-17.0
-2.0,88.0,2015-11-17,0,BKN,41.0,45.0,12.0,9.0,29.0,20.0,45.0,44.0,21.0,28.0,47.0,64.0,44.0,44.0,8.0,9.0,36.0,35.0,71.0,54.0,10.0,7.0,14.0,13.0,22.0,22.0,7.0,14.0,7.0,3.0,-20.0,-11.0,-17.0,-14.0
14.0,101.0,2015-11-04,1,BKN,36.0,24.0,8.0,5.0,22.0,21.0,54.0,50.0,29.0,31.0,54.0,62.0,34.0,43.0,6.0,14.0,28.0,29.0,79.0,77.0,19.0,10.0,24.0,13.0,27.0,24.0,15.0,9.0,10.0,4.0,-13.0,-19.0,-17.0,-19.0
11.0,118.0,2016-04-09,1,BOS,52.0,39.0,17.0,11.0,33.0,28.0,53.0,47.0,29.0,29.0,55.0,62.0,44.0,40.0,5.0,10.0,39.0,30.0,82.0,67.0,9.0,16.0,11.0,24.0,31.0,26.0,10.0,10.0,10.0,6.0,-17.0,-15.0,-22.0,-21.0
8.0,109.0,2015-12-18,0,BOS,20.0,44.0,4.0,10.0,20.0,23.0,54.0,44.0,37.0,24.0,68.0,54.0,42.0,43.0,9.0,6.0,33.0,37.0,79.0,74.0,23.0,23.0,29.0,31.0,23.0,19.0,11.0,5.0,4.0,2.0,-12.0,-21.0,-28.0,-25.0
24.0,121.0,2015-11-24,1,BOS,50.0,43.0,12.0,9.0,24.0,21.0,59.0,41.0,33.0,25.0,56.0,61.0,43.0,33.0,6.0,10.0,37.0,23.0,86.0,77.0,19.0,20.0,22.0,26.0,33.0,23.0,8.0,14.0,7.0,2.0,-20.0,-16.0,-25.0,-19.0
-13.0,93.0,2015-11-13,0,BOS,30.0,33.0,6.0,11.0,20.0,33.0,54.0,44.0,30.0,31.0,56.0,70.0,35.0,50.0,5.0,17.0,30.0,33.0,75.0,92.0,15.0,11.0,20.0,12.0,26.0,27.0,3.0,10.0,2.0,7.0,-16.0,-10.0,-14.0,-18.0
11.0,87.0,2016-02-28,1,CHA,47.0,22.0,8.0,7.0,17.0,32.0,50.0,41.0,30.0,20.0,60.0,49.0,48.0,41.0,6.0,10.0,42.0,31.0,60.0,65.0,3.0,15.0,5.0,23.0,29.0,16.0,4.0,7.0,5.0,4.0,-15.0,-6.0,-19.0,-12.0
-23.0,84.0,2016-01-13,0,CHA,28.0,33.0,7.0,13.0,25.0,40.0,41.0,55.0,23.0,23.0,56.0,42.0,37.0,54.0,6.0,11.0,31.0,43.0,81.0,85.0,17.0,22.0,21.0,26.0,17.0,26.0,5.0,8.0,4.0,9.0,-16.0,-16.0,-21.0,-24.0
2.0,94.0,2015-11-01,0,CHA,24.0,38.0,7.0,14.0,29.0,37.0,51.0,37.0,30.0,18.0,59.0,49.0,48.0,45.0,9.0,9.0,39.0,36.0,93.0,93.0,13.0,14.0,14.0,15.0,22.0,27.0,9.0,7.0,6.0,13.0,-11.0,-11.0,-16.0,-14.0
3.0,97.0,2015-10-30,1,CHA,35.0,40.0,8.0,12.0,23.0,30.0,47.0,41.0,28.0,24.0,60.0,58.0,45.0,54.0,8.0,13.0,37.0,41.0,77.0,77.0,17.0,10.0,22.0,13.0,23.0,23.0,9.0,7.0,4.0,6.0,-15.0,-18.0,-17.0,-20.0
2.0,102.0,2016-03-28,0,CHI,23.0,41.0,5.0,9.0,22.0,22.0,49.0,37.0,31.0,31.0,63.0,83.0,47.0,58.0,7.0,18.0,40.0,40.0,89.0,73.0,25.0,11.0,28.0,15.0,22.0,22.0,5.0,4.0,12.0,5.0,-8.0,-8.0,-13.0,-17.0
15.0,103.0,2016-02-26,1,CHI,21.0,25.0,7.0,5.0,34.0,20.0,55.0,40.0,30.0,27.0,55.0,68.0,48.0,49.0,13.0,17.0,35.0,32.0,92.0,86.0,22.0,19.0,24.0,22.0,28.0,19.0,14.0,3.0,12.0,2.0,-11.0,-20.0,-21.0,-20.0
23.0,113.0,2016-02-10,0,CHI,39.0,36.0,13.0,5.0,33.0,14.0,53.0,46.0,30.0,33.0,57.0,72.0,46.0,45.0,11.0,11.0,35.0,34.0,93.0,75.0,14.0,9.0,15.0,12.0,25.0,21.0,16.0,7.0,7.0,3.0,-12.0,-18.0,-14.0,-17.0
15.0,120.0,2016-01-09,1,CHI,42.0,39.0,10.0,7.0,24.0,18.0,56.0,45.0,39.0,29.0,70.0,65.0,40.0,46.0,8.0,12.0,32.0,34.0,80.0,84.0,12.0,26.0,15.0,31.0,33.0,16.0,15.0,7.0,13.0,6.0,-15.0,-21.0,-22.0,-13.0
-15.0,94.0,2016-04-11,0,CLE,27.0,38.0,8.0,11.0,30.0,29.0,54.0,54.0,31.0,29.0,57.0,54.0,42.0,47.0,10.0,9.0,32.0,38.0,53.0,90.0,8.0,18.0,15.0,20.0,23.0,17.0,8.0,9.0,7.0,4.0,-15.0,-15.0,-18.0,-14.0
-2.0,108.0,2016-04-01,1,CLE,30.0,32.0,9.0,12.0,30.0,38.0,45.0,45.0,29.0,27.0,65.0,60.0,48.0,57.0,5.0,11.0,43.0,46.0,89.0,65.0,23.0,20.0,26.0,31.0,25.0,27.0,5.0,9.0,8.0,6.0,-15.0,-12.0,-27.0,-23.0
-12.0,97.0,2015-11-21,0,CLE,39.0,38.0,11.0,11.0,28.0,29.0,36.0,54.0,21.0,30.0,58.0,56.0,38.0,51.0,12.0,11.0,26.0,40.0,88.0,84.0,22.0,16.0,25.0,19.0,22.0,27.0,10.0,4.0,4.0,8.0,-12.0,-14.0,-20.0,-22.0
