x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-11.0,107.0,2016-04-09,0,ATL,39.0,52.0,11.0,17.0,28.0,33.0,47.0,53.0,29.0,29.0,62.0,55.0,40.0,44.0,10.0,5.0,30.0,39.0,67.0,82.0,16.0,9.0,24.0,11.0,26.0,31.0,10.0,10.0,6.0,10.0,-15.0,-17.0,-21.0,-22.0
-8.0,101.0,2015-12-18,1,ATL,44.0,20.0,10.0,4.0,23.0,20.0,44.0,54.0,24.0,37.0,54.0,68.0,43.0,42.0,6.0,9.0,37.0,33.0,74.0,79.0,23.0,23.0,31.0,29.0,19.0,23.0,5.0,11.0,2.0,4.0,-21.0,-12.0,-25.0,-28.0
-24.0,97.0,2015-11-24,0,ATL,43.0,50.0,9.0,12.0,21.0,24.0,41.0,59.0,25.0,33.0,61.0,56.0,33.0,43.0,10.0,6.0,23.0,37.0,77.0,86.0,20.0,19.0,26.0,22.0,23.0,33.0,14.0,8.0,2.0,7.0,-16.0,-20.0,-19.0,-25.0
13.0,106.0,2015-11-13,1,ATL,33.0,30.0,11.0,6.0,33.0,20.0,44.0,54.0,31.0,30.0,70.0,56.0,50.0,35.0,17.0,5.0,33.0,30.0,92.0,75.0,11.0,15.0,12.0,20.0,27.0,26.0,10.0,3.0,7.0,2.0,-10.0,-16.0,-18.0,-14.0
9.0,103.0,2016-01-04,0,BKN,29.0,21.0,6.0,6.0,21.0,28.0,49.0,46.0,35.0,26.0,71.0,57.0,48.0,53.0,12.0,16.0,36.0,37.0,79.0,89.0,15.0,24.0,19.0,27.0,22.0,16.0,10.0,4.0,5.0,6.0,-7.0,-14.0,-21.0,-18.0
-3.0,97.0,2016-01-02,1,BKN,22.0,17.0,7.0,3.0,32.0,18.0,48.0,47.0,27.0,35.0,56.0,75.0,51.0,50.0,16.0,14.0,35.0,36.0,79.0,96.0,22.0,21.0,28.0,22.0,17.0,23.0,8.0,5.0,4.0,2.0,-14.0,-14.0,-24.0,-21.0
-10.0,101.0,2015-11-22,0,BKN,38.0,33.0,14.0,5.0,37.0,15.0,47.0,55.0,21.0,35.0,45.0,64.0,35.0,49.0,10.0,14.0,25.0,35.0,81.0,79.0,17.0,26.0,21.0,33.0,19.0,18.0,9.0,11.0,2.0,4.0,-17.0,-14.0,-28.0,-20.0
25.0,120.0,2015-11-20,1,BKN,35.0,42.0,10.0,8.0,29.0,19.0,71.0,39.0,41.0,27.0,58.0,70.0,41.0,44.0,7.0,14.0,34.0,30.0,80.0,71.0,8.0,17.0,10.0,24.0,39.0,17.0,10.0,10.0,4.0,0.0,-16.0,-19.0,-19.0,-13.0
-14.0,100.0,2016-04-11,1,CHA,33.0,44.0,8.0,14.0,24.0,32.0,40.0,55.0,26.0,27.0,65.0,49.0,46.0,44.0,13.0,7.0,33.0,37.0,83.0,82.0,24.0,18.0,29.0,22.0,17.0,23.0,6.0,10.0,1.0,7.0,-12.0,-14.0,-17.0,-20.0
13.0,102.0,2015-12-23,0,CHA,24.0,29.0,7.0,8.0,29.0,28.0,52.0,40.0,29.0,21.0,56.0,53.0,49.0,44.0,10.0,12.0,39.0,32.0,89.0,72.0,23.0,23.0,26.0,32.0,25.0,19.0,9.0,6.0,4.0,6.0,-13.0,-16.0,-23.0,-18.0
