x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-2.0,100.0,2016-03-28,1,ATL,41.0,23.0,9.0,5.0,22.0,22.0,37.0,49.0,31.0,31.0,83.0,63.0,58.0,47.0,18.0,7.0,40.0,40.0,73.0,89.0,11.0,25.0,15.0,28.0,22.0,22.0,4.0,5.0,5.0,12.0,-8.0,-8.0,-17.0,-13.0
-15.0,88.0,2016-02-26,0,ATL,25.0,21.0,5.0,7.0,20.0,34.0,40.0,55.0,27.0,30.0,68.0,55.0,49.0,48.0,17.0,13.0,32.0,35.0,86.0,92.0,19.0,22.0,22.0,24.0,19.0,28.0,3.0,14.0,2.0,12.0,-20.0,-11.0,-20.0,-21.0
-23.0,90.0,2016-02-10,1,ATL,36.0,39.0,5.0,13.0,14.0,33.0,46.0,53.0,33.0,30.0,72.0,57.0,45.0,46.0,11.0,11.0,34.0,35.0,75.0,93.0,9.0,14.0,12.0,15.0,21.0,25.0,7.0,16.0,3.0,7.0,-18.0,-12.0,-17.0,-14.0
-15.0,105.0,2016-01-09,0,ATL,39.0,42.0,7.0,10.0,18.0,24.0,45.0,56.0,29.0,39.0,65.0,70.0,46.0,40.0,12.0,8.0,34.0,32.0,84.0,80.0,26.0,12.0,31.0,15.0,16.0,33.0,7.0,15.0,6.0,13.0,-21.0,-15.0,-13.0,-22.0
16.0,118.0,2016-03-17,1,BKN,46.0,29.0,11.0,6.0,24.0,21.0,50.0,52.0,35.0,34.0,70.0,65.0,50.0,39.0,16.0,12.0,34.0,27.0,1.0,80.0,15.0,16.0,15.0,20.0,26.0,22.0,6.0,7.0,8.0,3.0,-9.0,-9.0,-16.0,-18.0
-3.0,102.0,2015-12-21,1,BKN,35.0,35.0,9.0,7.0,26.0,20.0,49.0,49.0,34.0,36.0,69.0,74.0,45.0,51.0,15.0,15.0,30.0,36.0,54.0,86.0,7.0,12.0,13.0,14.0,32.0,26.0,8.0,9.0,8.0,4.0,-13.0,-14.0,-15.0,-13.0
15.0,115.0,2015-10-28,0,BKN,50.0,0.0,14.0,0.0,28.0,9.0,56.0,46.0,28.0,39.0,50.0,84.0,39.0,45.0,5.0,16.0,34.0,29.0,85.0,79.0,17.0,22.0,20.0,28.0,20.0,19.0,9.0,11.0,3.0,5.0,-19.0,-13.0,-24.0,-18.0
-9.0,101.0,2016-01-22,0,BOS,23.0,35.0,3.0,8.0,13.0,23.0,46.0,48.0,35.0,35.0,76.0,73.0,50.0,46.0,15.0,16.0,35.0,30.0,85.0,76.0,22.0,16.0,26.0,21.0,11.0,26.0,7.0,14.0,4.0,6.0,-20.0,-12.0,-19.0,-22.0
9.0,101.0,2016-01-07,1,BOS,41.0,20.0,9.0,5.0,22.0,25.0,42.0,41.0,30.0,30.0,72.0,73.0,54.0,51.0,12.0,15.0,42.0,36.0,82.0,77.0,14.0,17.0,17.0,22.0,23.0,17.0,4.0,11.0,5.0,3.0,-16.0,-11.0,-18.0,-19.0
-5.0,100.0,2015-12-09,0,BOS,29.0,22.0,6.0,5.0,21.0,23.0,47.0,48.0,33.0,33.0,70.0,69.0,50.0,45.0,15.0,13.0,35.0,32.0,70.0,86.0,16.0,24.0,23.0,28.0,22.0,22.0,7.0,10.0,5.0,4.0,-16.0,-12.0,-18.0,-22.0
-17.0,91.0,2016-02-08,0,CHA,40.0,39.0,10.0,14.0,25.0,36.0,38.0,48.0,25.0,21.0,65.0,44.0,41.0,56.0,8.0,10.0,33.0,46.0,79.0,77.0,11.0,24.0,14.0,31.0,25.0,20.0,5.0,6.0,8.0,8.0,-7.0,-13.0,-22.0,-19.0
-6.0,96.0,2015-12-05,1,CHA,36.0,29.0,9.0,10.0,25.0,34.0,44.0,49.0,28.0,27.0,64.0,55.0,52.0,50.0,12.0,13.0,40.0,37.0,68.0,72.0,13.0,18.0,19.0,25.0,29.0,23.0,5.0,10.0,5.0,3.0,-14.0,-9.0,-19.0,-18.0
