x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-15.0,97.0,2016-02-01,0,ATL,27.0,40.0,7.0,14.0,26.0,35.0,41.0,62.0,24.0,28.0,59.0,45.0,37.0,50.0,10.0,5.0,27.0,45.0,74.0,74.0,28.0,14.0,38.0,19.0,14.0,29.0,5.0,2.0,2.0,6.0,-6.0,-15.0,-18.0,-25.0
-3.0,95.0,2015-12-09,1,ATL,23.0,30.0,7.0,6.0,31.0,20.0,42.0,54.0,29.0,33.0,69.0,61.0,51.0,47.0,20.0,6.0,31.0,41.0,84.0,78.0,16.0,14.0,19.0,18.0,18.0,26.0,7.0,7.0,3.0,7.0,-9.0,-14.0,-15.0,-19.0
12.0,91.0,2016-01-29,1,BKN,38.0,20.0,8.0,4.0,21.0,20.0,49.0,41.0,29.0,24.0,59.0,58.0,49.0,44.0,10.0,10.0,39.0,34.0,60.0,83.0,9.0,19.0,15.0,23.0,22.0,13.0,6.0,10.0,5.0,2.0,-12.0,-10.0,-17.0,-14.0
1.0,119.0,2015-12-23,0,BKN,47.0,53.0,16.0,10.0,34.0,19.0,60.0,50.0,29.0,41.0,48.0,82.0,34.0,43.0,5.0,15.0,29.0,28.0,87.0,43.0,13.0,6.0,15.0,14.0,27.0,32.0,3.0,9.0,4.0,4.0,-17.0,-11.0,-18.0,-17.0
5.0,118.0,2016-01-18,1,BOS,47.0,40.0,16.0,12.0,34.0,30.0,41.0,44.0,24.0,28.0,59.0,64.0,51.0,49.0,11.0,13.0,40.0,36.0,92.0,81.0,22.0,21.0,24.0,26.0,23.0,24.0,4.0,9.0,2.0,3.0,-14.0,-12.0,-21.0,-30.0
4.0,106.0,2015-11-18,0,BOS,35.0,31.0,7.0,8.0,20.0,26.0,58.0,45.0,30.0,30.0,52.0,66.0,39.0,43.0,7.0,14.0,32.0,29.0,71.0,75.0,25.0,18.0,35.0,24.0,22.0,22.0,7.0,12.0,7.0,1.0,-17.0,-14.0,-22.0,-28.0
11.0,107.0,2016-03-14,0,CHA,30.0,33.0,9.0,10.0,30.0,30.0,58.0,48.0,33.0,22.0,57.0,46.0,42.0,40.0,6.0,7.0,36.0,33.0,78.0,65.0,14.0,22.0,18.0,34.0,30.0,18.0,9.0,9.0,6.0,7.0,-14.0,-15.0,-26.0,-16.0
-14.0,94.0,2015-11-05,1,CHA,21.0,22.0,6.0,6.0,29.0,27.0,49.0,61.0,26.0,38.0,53.0,62.0,44.0,48.0,8.0,8.0,36.0,40.0,89.0,82.0,24.0,14.0,27.0,17.0,17.0,19.0,8.0,8.0,2.0,6.0,-13.0,-11.0,-13.0,-25.0
6.0,83.0,2016-01-15,0,CHI,36.0,11.0,8.0,2.0,22.0,19.0,40.0,43.0,22.0,29.0,55.0,67.0,43.0,47.0,7.0,12.0,36.0,35.0,88.0,87.0,15.0,13.0,17.0,15.0,20.0,16.0,1.0,6.0,6.0,2.0,-9.0,-8.0,-16.0,-19.0
7.0,118.0,2015-12-26,1,CHI,49.0,38.0,16.0,8.0,33.0,21.0,44.0,60.0,24.0,34.0,54.0,57.0,42.0,41.0,16.0,13.0,26.0,28.0,79.0,73.0,22.0,19.0,28.0,26.0,24.0,20.0,10.0,7.0,1.0,7.0,-11.0,-17.0,-25.0,-23.0
