x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-17.0,95.0,2016-03-26,1,ATL,24.0,38.0,7.0,13.0,29.0,34.0,46.0,49.0,27.0,30.0,59.0,61.0,53.0,39.0,14.0,5.0,39.0,34.0,71.0,93.0,20.0,13.0,28.0,14.0,25.0,34.0,2.0,6.0,4.0,7.0,-11.0,-4.0,-14.0,-21.0
-4.0,114.0,2016-03-16,1,ATL,32.0,35.0,8.0,12.0,25.0,34.0,53.0,49.0,31.0,27.0,59.0,55.0,48.0,46.0,9.0,8.0,39.0,38.0,72.0,82.0,28.0,28.0,39.0,34.0,23.0,25.0,3.0,10.0,4.0,3.0,-13.0,-12.0,-25.0,-26.0
-7.0,100.0,2015-12-23,0,ATL,33.0,30.0,7.0,6.0,21.0,20.0,46.0,54.0,31.0,37.0,68.0,69.0,46.0,42.0,13.0,10.0,33.0,32.0,52.0,75.0,17.0,15.0,33.0,20.0,18.0,25.0,7.0,8.0,9.0,4.0,-14.0,-13.0,-20.0,-25.0
12.0,106.0,2015-10-27,0,ATL,41.0,30.0,12.0,8.0,29.0,27.0,37.0,53.0,25.0,29.0,67.0,55.0,59.0,40.0,23.0,7.0,36.0,33.0,77.0,80.0,20.0,12.0,26.0,15.0,23.0,22.0,5.0,9.0,3.0,4.0,-15.0,-15.0,-15.0,-25.0
12.0,115.0,2016-03-19,1,BKN,42.0,36.0,10.0,5.0,24.0,14.0,51.0,56.0,36.0,37.0,70.0,66.0,45.0,40.0,15.0,6.0,30.0,34.0,62.0,67.0,13.0,14.0,21.0,21.0,30.0,24.0,5.0,3.0,4.0,5.0,-6.0,-9.0,-17.0,-22.0
5.0,105.0,2016-02-01,0,BKN,33.0,44.0,10.0,7.0,30.0,16.0,47.0,50.0,32.0,33.0,68.0,66.0,49.0,39.0,19.0,7.0,30.0,32.0,69.0,87.0,11.0,13.0,16.0,15.0,18.0,28.0,5.0,5.0,4.0,4.0,-9.0,-11.0,-15.0,-15.0
14.0,103.0,2016-01-09,1,BKN,30.0,56.0,8.0,5.0,27.0,9.0,54.0,45.0,35.0,33.0,65.0,73.0,47.0,38.0,11.0,5.0,36.0,33.0,64.0,80.0,9.0,8.0,14.0,10.0,23.0,24.0,10.0,5.0,5.0,3.0,-9.0,-14.0,-12.0,-17.0
-4.0,83.0,2015-11-29,0,BKN,25.0,33.0,6.0,4.0,24.0,12.0,36.0,45.0,28.0,31.0,77.0,69.0,51.0,51.0,19.0,7.0,32.0,44.0,43.0,81.0,9.0,13.0,21.0,16.0,19.0,15.0,11.0,8.0,1.0,11.0,-14.0,-19.0,-15.0,-16.0
-7.0,95.0,2016-02-03,0,BOS,32.0,33.0,11.0,7.0,34.0,21.0,41.0,47.0,21.0,35.0,51.0,75.0,48.0,49.0,9.0,6.0,39.0,43.0,71.0,85.0,20.0,11.0,28.0,13.0,18.0,28.0,3.0,8.0,5.0,7.0,-16.0,-10.0,-18.0,-24.0
5.0,99.0,2016-01-06,0,BOS,37.0,21.0,10.0,6.0,27.0,28.0,49.0,44.0,23.0,28.0,47.0,63.0,47.0,39.0,11.0,13.0,36.0,26.0,64.0,74.0,23.0,20.0,36.0,27.0,18.0,23.0,4.0,5.0,5.0,5.0,-18.0,-10.0,-27.0,-28.0
-6.0,93.0,2015-12-26,1,BOS,24.0,17.0,6.0,4.0,25.0,23.0,44.0,57.0,29.0,35.0,66.0,61.0,51.0,47.0,18.0,11.0,33.0,36.0,68.0,74.0,17.0,17.0,25.0,23.0,16.0,20.0,11.0,6.0,2.0,1.0,-15.0,-14.0,-24.0,-24.0
3.0,119.0,2015-12-16,1,BOS,52.0,40.0,11.0,10.0,21.0,25.0,47.0,52.0,27.0,33.0,57.0,64.0,36.0,44.0,7.0,10.0,29.0,34.0,74.0,83.0,32.0,20.0,43.0,24.0,13.0,17.0,5.0,4.0,4.0,2.0,-11.0,-18.0,-22.0,-35.0
7.0,112.0,2016-03-25,1,CHA,27.0,47.0,8.0,14.0,30.0,30.0,56.0,37.0,34.0,23.0,61.0,63.0,62.0,42.0,15.0,7.0,47.0,35.0,77.0,77.0,20.0,17.0,26.0,22.0,22.0,24.0,4.0,8.0,6.0,2.0,-14.0,-7.0,-22.0,-21.0
-15.0,103.0,2016-03-11,0,CHA,30.0,40.0,9.0,10.0,30.0,25.0,59.0,55.0,27.0,32.0,46.0,58.0,33.0,37.0,3.0,9.0,30.0,28.0,82.0,83.0,22.0,24.0,27.0,29.0,19.0,28.0,7.0,9.0,4.0,5.0,-12.0,-10.0,-21.0,-19.0
-20.0,84.0,2015-12-07,0,CHA,29.0,31.0,10.0,8.0,34.0,26.0,42.0,48.0,22.0,28.0,53.0,58.0,41.0,57.0,7.0,14.0,34.0,43.0,46.0,69.0,10.0,24.0,22.0,35.0,17.0,21.0,11.0,5.0,2.0,5.0,-12.0,-14.0,-20.0,-20.0
4.0,94.0,2016-04-02,0,CHI,50.0,36.0,10.0,9.0,20.0,25.0,39.0,40.0,22.0,25.0,56.0,63.0,45.0,47.0,7.0,11.0,38.0,36.0,59.0,87.0,20.0,13.0,34.0,15.0,17.0,21.0,8.0,6.0,2.0,10.0,-10.0,-11.0,-16.0,-25.0
