x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
4.0,109.0,2016-03-01,1,ATL,33.0,36.0,12.0,12.0,36.0,33.0,43.0,53.0,29.0,25.0,67.0,47.0,51.0,42.0,18.0,7.0,33.0,35.0,88.0,79.0,15.0,19.0,17.0,24.0,28.0,25.0,11.0,9.0,3.0,5.0,-11.0,-17.0,-22.0,-17.0
10.0,102.0,2016-02-22,0,ATL,31.0,29.0,14.0,10.0,45.0,34.0,57.0,50.0,25.0,26.0,44.0,52.0,43.0,47.0,6.0,8.0,37.0,39.0,83.0,63.0,10.0,10.0,12.0,16.0,30.0,23.0,14.0,7.0,8.0,7.0,-13.0,-17.0,-17.0,-17.0
16.0,114.0,2015-12-06,0,BKN,42.0,29.0,14.0,5.0,33.0,17.0,57.0,47.0,30.0,34.0,53.0,72.0,46.0,46.0,10.0,11.0,36.0,35.0,52.0,65.0,12.0,15.0,23.0,23.0,25.0,21.0,9.0,8.0,9.0,2.0,-12.0,-13.0,-18.0,-18.0
8.0,107.0,2015-11-14,1,BKN,35.0,11.0,12.0,2.0,34.0,18.0,49.0,49.0,31.0,39.0,63.0,80.0,50.0,50.0,11.0,11.0,39.0,39.0,90.0,94.0,9.0,15.0,10.0,16.0,31.0,22.0,9.0,12.0,10.0,4.0,-14.0,-12.0,-19.0,-13.0
-3.0,106.0,2016-04-01,1,BOS,47.0,35.0,20.0,8.0,43.0,23.0,45.0,52.0,18.0,33.0,40.0,64.0,41.0,44.0,8.0,11.0,33.0,33.0,77.0,63.0,10.0,19.0,13.0,30.0,25.0,28.0,12.0,10.0,7.0,1.0,-22.0,-14.0,-24.0,-14.0
5.0,124.0,2015-12-11,0,BOS,29.0,36.0,9.0,12.0,31.0,33.0,43.0,46.0,33.0,37.0,76.0,81.0,67.0,51.0,17.0,11.0,50.0,40.0,80.0,56.0,31.0,9.0,39.0,16.0,28.0,32.0,10.0,7.0,11.0,9.0,-18.0,-15.0,-22.0,-30.0
10.0,111.0,2016-01-04,1,CHA,44.0,33.0,15.0,7.0,34.0,21.0,57.0,48.0,30.0,31.0,53.0,65.0,37.0,41.0,3.0,8.0,34.0,33.0,1.0,95.0,6.0,18.0,6.0,19.0,32.0,15.0,4.0,7.0,9.0,1.0,-11.0,-11.0,-19.0,-12.0
17.0,116.0,2015-12-02,0,CHA,47.0,29.0,16.0,9.0,34.0,31.0,56.0,41.0,30.0,26.0,54.0,63.0,53.0,41.0,11.0,13.0,42.0,28.0,73.0,67.0,8.0,20.0,11.0,30.0,31.0,19.0,2.0,10.0,9.0,7.0,-18.0,-8.0,-23.0,-13.0
31.0,125.0,2016-01-20,0,CHI,38.0,5.0,12.0,1.0,32.0,20.0,60.0,45.0,38.0,36.0,63.0,80.0,55.0,49.0,12.0,16.0,43.0,33.0,65.0,79.0,13.0,19.0,20.0,24.0,38.0,14.0,8.0,4.0,9.0,4.0,-10.0,-10.0,-17.0,-17.0
12.0,106.0,2015-11-20,1,CHI,35.0,32.0,10.0,7.0,29.0,22.0,58.0,42.0,29.0,28.0,50.0,66.0,49.0,43.0,11.0,15.0,38.0,28.0,75.0,74.0,18.0,17.0,24.0,23.0,20.0,22.0,7.0,11.0,6.0,2.0,-15.0,-12.0,-15.0,-19.0
