x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-12.0,97.0,2016-03-19,0,ATL,22.0,37.0,5.0,14.0,23.0,38.0,46.0,60.0,28.0,30.0,61.0,50.0,51.0,40.0,15.0,9.0,36.0,31.0,84.0,58.0,26.0,7.0,31.0,12.0,15.0,32.0,11.0,12.0,3.0,6.0,-17.0,-16.0,-17.0,-20.0
-6.0,115.0,2015-12-29,1,ATL,55.0,34.0,11.0,14.0,20.0,41.0,54.0,50.0,28.0,29.0,52.0,58.0,46.0,45.0,7.0,17.0,39.0,28.0,67.0,84.0,26.0,21.0,39.0,25.0,23.0,27.0,6.0,10.0,4.0,7.0,-19.0,-12.0,-21.0,-24.0
-5.0,105.0,2015-12-08,0,BKN,43.0,39.0,15.0,7.0,35.0,18.0,51.0,60.0,24.0,38.0,47.0,63.0,36.0,42.0,10.0,12.0,26.0,30.0,71.0,81.0,12.0,13.0,17.0,16.0,26.0,27.0,20.0,14.0,3.0,7.0,-23.0,-24.0,-15.0,-17.0
-8.0,98.0,2015-11-11,1,BKN,24.0,47.0,8.0,8.0,34.0,17.0,53.0,42.0,34.0,34.0,64.0,81.0,45.0,60.0,13.0,20.0,32.0,40.0,50.0,82.0,6.0,14.0,12.0,17.0,25.0,25.0,9.0,5.0,9.0,11.0,-7.0,-11.0,-14.0,-13.0
4.0,102.0,2016-03-11,0,BOS,19.0,26.0,5.0,8.0,26.0,31.0,56.0,43.0,35.0,26.0,62.0,60.0,50.0,45.0,15.0,14.0,35.0,31.0,68.0,79.0,17.0,22.0,25.0,28.0,19.0,24.0,8.0,14.0,3.0,3.0,-17.0,-14.0,-21.0,-17.0
-16.0,95.0,2015-11-16,1,BOS,34.0,31.0,11.0,11.0,32.0,36.0,47.0,58.0,25.0,33.0,53.0,57.0,46.0,49.0,14.0,16.0,32.0,33.0,52.0,71.0,12.0,12.0,23.0,17.0,23.0,27.0,10.0,16.0,6.0,3.0,-22.0,-19.0,-20.0,-22.0
-16.0,109.0,2016-03-12,0,CHA,19.0,48.0,5.0,15.0,26.0,31.0,57.0,58.0,38.0,33.0,67.0,57.0,40.0,44.0,14.0,10.0,26.0,34.0,64.0,88.0,18.0,14.0,28.0,16.0,21.0,28.0,8.0,6.0,5.0,5.0,-9.0,-11.0,-20.0,-25.0
7.0,102.0,2015-12-21,1,CHA,25.0,29.0,7.0,12.0,28.0,41.0,60.0,40.0,26.0,17.0,43.0,42.0,49.0,35.0,9.0,9.0,40.0,26.0,71.0,81.0,29.0,25.0,41.0,31.0,18.0,20.0,3.0,8.0,4.0,3.0,-19.0,-11.0,-33.0,-27.0
-3.0,100.0,2016-03-31,1,CHI,36.0,46.0,9.0,11.0,25.0,24.0,42.0,49.0,27.0,26.0,65.0,53.0,45.0,42.0,13.0,5.0,32.0,37.0,86.0,82.0,19.0,18.0,22.0,22.0,19.0,28.0,5.0,5.0,6.0,4.0,-9.0,-15.0,-19.0,-20.0
-8.0,100.0,2016-03-05,0,CHI,26.0,43.0,9.0,9.0,35.0,21.0,50.0,47.0,26.0,27.0,52.0,58.0,40.0,53.0,11.0,12.0,29.0,41.0,70.0,79.0,21.0,27.0,30.0,34.0,22.0,28.0,17.0,8.0,3.0,4.0,-18.0,-25.0,-27.0,-21.0
