x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-12.0,83.0,2016-03-12,0,ATL,26.0,32.0,6.0,11.0,23.0,34.0,38.0,50.0,27.0,25.0,72.0,50.0,58.0,47.0,20.0,8.0,38.0,39.0,79.0,71.0,11.0,12.0,14.0,17.0,15.0,27.0,10.0,9.0,5.0,12.0,-16.0,-11.0,-14.0,-14.0
-15.0,101.0,2015-11-27,1,ATL,40.0,36.0,12.0,14.0,30.0,39.0,46.0,58.0,23.0,21.0,50.0,36.0,37.0,40.0,5.0,6.0,32.0,34.0,91.0,89.0,19.0,32.0,21.0,36.0,20.0,25.0,3.0,4.0,1.0,3.0,-13.0,-10.0,-25.0,-21.0
19.0,109.0,2016-02-10,0,BKN,45.0,50.0,9.0,11.0,20.0,22.0,55.0,45.0,36.0,22.0,66.0,49.0,35.0,35.0,10.0,8.0,25.0,27.0,83.0,68.0,10.0,13.0,12.0,19.0,26.0,25.0,15.0,4.0,2.0,2.0,-10.0,-20.0,-18.0,-12.0
10.0,101.0,2015-10-31,1,BKN,39.0,23.0,9.0,3.0,23.0,13.0,44.0,53.0,25.0,35.0,57.0,66.0,42.0,43.0,11.0,8.0,31.0,35.0,86.0,67.0,24.0,12.0,28.0,18.0,26.0,21.0,6.0,3.0,2.0,3.0,-9.0,-12.0,-19.0,-22.0
-20.0,96.0,2016-03-09,0,BOS,27.0,47.0,7.0,15.0,26.0,32.0,43.0,47.0,25.0,26.0,58.0,55.0,48.0,38.0,16.0,7.0,32.0,31.0,81.0,79.0,25.0,19.0,31.0,24.0,20.0,26.0,8.0,9.0,7.0,7.0,-19.0,-13.0,-22.0,-27.0
3.0,101.0,2016-01-10,1,BOS,25.0,32.0,4.0,7.0,16.0,22.0,40.0,45.0,27.0,30.0,68.0,66.0,58.0,39.0,21.0,11.0,37.0,28.0,88.0,74.0,35.0,17.0,40.0,23.0,12.0,22.0,8.0,17.0,9.0,4.0,-21.0,-16.0,-23.0,-28.0
-6.0,92.0,2015-12-26,0,CHA,37.0,44.0,7.0,14.0,19.0,32.0,42.0,38.0,30.0,14.0,71.0,37.0,48.0,43.0,16.0,7.0,32.0,36.0,52.0,88.0,11.0,28.0,21.0,32.0,21.0,21.0,10.0,11.0,5.0,13.0,-14.0,-17.0,-24.0,-24.0
-24.0,99.0,2015-12-11,1,CHA,35.0,49.0,7.0,18.0,20.0,37.0,42.0,51.0,25.0,21.0,60.0,41.0,40.0,41.0,11.0,7.0,29.0,34.0,76.0,90.0,28.0,27.0,37.0,30.0,19.0,23.0,8.0,5.0,5.0,5.0,-12.0,-13.0,-24.0,-24.0
16.0,108.0,2016-04-05,1,CHI,37.0,38.0,7.0,11.0,19.0,29.0,47.0,48.0,32.0,23.0,68.0,48.0,42.0,42.0,12.0,13.0,30.0,29.0,89.0,68.0,23.0,13.0,26.0,19.0,18.0,22.0,13.0,6.0,1.0,11.0,-11.0,-20.0,-15.0,-20.0
-13.0,85.0,2015-12-16,0,CHI,26.0,38.0,5.0,9.0,19.0,24.0,47.0,47.0,27.0,29.0,57.0,62.0,41.0,45.0,5.0,9.0,36.0,36.0,57.0,68.0,16.0,13.0,28.0,19.0,27.0,22.0,6.0,5.0,5.0,6.0,-13.0,-14.0,-20.0,-17.0
