x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-11.0,90.0,2016-03-25,0,ATL,23.0,16.0,3.0,5.0,13.0,32.0,45.0,55.0,32.0,36.0,71.0,65.0,49.0,45.0,16.0,17.0,33.0,28.0,65.0,82.0,17.0,14.0,26.0,17.0,16.0,26.0,4.0,10.0,9.0,6.0,-15.0,-11.0,-16.0,-21.0
8.0,117.0,2016-02-20,0,ATL,18.0,22.0,3.0,9.0,17.0,41.0,49.0,54.0,43.0,35.0,87.0,65.0,65.0,49.0,17.0,10.0,48.0,39.0,69.0,67.0,22.0,12.0,32.0,18.0,23.0,31.0,12.0,11.0,10.0,8.0,-17.0,-16.0,-21.0,-27.0
7.0,108.0,2016-01-15,1,ATL,30.0,30.0,3.0,9.0,10.0,30.0,43.0,49.0,37.0,34.0,86.0,70.0,60.0,43.0,21.0,7.0,39.0,36.0,68.0,1.0,25.0,6.0,37.0,6.0,19.0,29.0,9.0,5.0,13.0,9.0,-16.0,-17.0,-14.0,-25.0
9.0,109.0,2016-03-13,0,BKN,43.0,44.0,6.0,12.0,14.0,27.0,52.0,63.0,39.0,27.0,75.0,43.0,41.0,31.0,15.0,3.0,26.0,28.0,62.0,77.0,13.0,10.0,21.0,13.0,27.0,25.0,13.0,3.0,3.0,6.0,-9.0,-20.0,-12.0,-18.0
8.0,94.0,2015-11-07,1,BKN,40.0,33.0,8.0,3.0,20.0,9.0,47.0,42.0,29.0,31.0,62.0,73.0,41.0,52.0,10.0,17.0,31.0,35.0,75.0,79.0,12.0,15.0,16.0,19.0,27.0,18.0,9.0,11.0,6.0,3.0,-15.0,-18.0,-16.0,-18.0
7.0,103.0,2015-11-02,0,BKN,39.0,32.0,9.0,6.0,23.0,19.0,58.0,50.0,29.0,30.0,50.0,60.0,36.0,35.0,8.0,10.0,28.0,25.0,69.0,82.0,18.0,18.0,26.0,22.0,24.0,21.0,6.0,3.0,7.0,4.0,-14.0,-18.0,-23.0,-23.0
-15.0,109.0,2016-04-08,0,BOS,41.0,43.0,7.0,6.0,17.0,14.0,51.0,59.0,34.0,38.0,67.0,64.0,38.0,34.0,7.0,4.0,31.0,30.0,69.0,79.0,20.0,30.0,29.0,38.0,30.0,35.0,10.0,6.0,5.0,9.0,-19.0,-14.0,-27.0,-23.0
-5.0,107.0,2016-02-25,0,BOS,27.0,22.0,4.0,5.0,15.0,23.0,53.0,59.0,38.0,36.0,72.0,61.0,35.0,42.0,7.0,9.0,28.0,33.0,76.0,76.0,19.0,25.0,25.0,33.0,26.0,21.0,9.0,9.0,7.0,3.0,-14.0,-16.0,-27.0,-21.0
1.0,112.0,2016-02-09,1,BOS,37.0,35.0,7.0,10.0,19.0,29.0,55.0,53.0,38.0,29.0,69.0,55.0,38.0,44.0,11.0,13.0,27.0,31.0,65.0,96.0,15.0,23.0,23.0,24.0,25.0,28.0,5.0,11.0,6.0,2.0,-14.0,-18.0,-20.0,-23.0
-16.0,83.0,2015-11-10,1,BOS,35.0,23.0,6.0,7.0,17.0,30.0,43.0,55.0,24.0,31.0,56.0,56.0,41.0,45.0,9.0,14.0,32.0,31.0,74.0,84.0,17.0,16.0,23.0,19.0,14.0,21.0,10.0,11.0,2.0,6.0,-17.0,-12.0,-18.0,-18.0
