x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-8.0,98.0,2015-11-11,0,ATL,48.0,39.0,14.0,10.0,29.0,26.0,43.0,53.0,23.0,32.0,54.0,60.0,40.0,44.0,8.0,8.0,32.0,36.0,67.0,75.0,10.0,12.0,15.0,16.0,21.0,26.0,6.0,10.0,0.0,7.0,-19.0,-12.0,-21.0,-16.0
-6.0,115.0,2015-11-06,1,ATL,33.0,43.0,10.0,9.0,30.0,21.0,59.0,57.0,32.0,32.0,54.0,56.0,32.0,41.0,6.0,6.0,26.0,35.0,88.0,86.0,21.0,30.0,24.0,35.0,30.0,30.0,9.0,10.0,7.0,6.0,-12.0,-15.0,-24.0,-21.0
19.0,106.0,2016-04-03,0,BKN,36.0,35.0,8.0,8.0,22.0,23.0,63.0,40.0,34.0,25.0,54.0,62.0,32.0,50.0,5.0,21.0,27.0,29.0,61.0,62.0,14.0,13.0,23.0,21.0,31.0,20.0,11.0,5.0,7.0,3.0,-12.0,-20.0,-21.0,-23.0
2.0,105.0,2016-01-30,1,BKN,41.0,45.0,11.0,9.0,27.0,20.0,48.0,48.0,32.0,31.0,66.0,64.0,48.0,44.0,14.0,10.0,34.0,34.0,80.0,61.0,8.0,14.0,10.0,23.0,24.0,23.0,6.0,6.0,6.0,5.0,-9.0,-10.0,-17.0,-13.0
-7.0,97.0,2016-04-06,0,BOS,38.0,29.0,9.0,10.0,24.0,34.0,46.0,49.0,25.0,26.0,54.0,53.0,49.0,41.0,8.0,8.0,41.0,33.0,87.0,82.0,20.0,22.0,23.0,27.0,21.0,24.0,5.0,10.0,2.0,7.0,-22.0,-9.0,-28.0,-20.0
-18.0,93.0,2015-12-07,1,BOS,31.0,43.0,4.0,12.0,13.0,28.0,43.0,53.0,33.0,28.0,77.0,53.0,44.0,46.0,13.0,10.0,31.0,36.0,83.0,79.0,15.0,19.0,18.0,24.0,21.0,24.0,8.0,8.0,6.0,8.0,-14.0,-17.0,-17.0,-18.0
-9.0,113.0,2016-03-09,0,CHA,30.0,43.0,10.0,15.0,33.0,35.0,58.0,49.0,30.0,23.0,52.0,47.0,43.0,43.0,6.0,4.0,37.0,39.0,82.0,82.0,23.0,31.0,28.0,38.0,22.0,21.0,2.0,6.0,3.0,3.0,-11.0,-5.0,-23.0,-18.0
2.0,109.0,2016-01-15,1,CHA,44.0,40.0,12.0,14.0,27.0,35.0,52.0,55.0,31.0,28.0,60.0,51.0,38.0,38.0,8.0,3.0,30.0,35.0,85.0,75.0,11.0,9.0,13.0,12.0,29.0,21.0,7.0,1.0,7.0,1.0,-8.0,-11.0,-15.0,-17.0
-5.0,116.0,2016-04-11,1,CHI,46.0,44.0,12.0,10.0,26.0,23.0,54.0,63.0,29.0,34.0,54.0,54.0,33.0,35.0,10.0,5.0,23.0,30.0,79.0,89.0,22.0,23.0,28.0,26.0,28.0,29.0,8.0,5.0,2.0,3.0,-10.0,-9.0,-23.0,-20.0
-4.0,94.0,2015-12-12,0,CHI,38.0,40.0,6.0,8.0,16.0,20.0,47.0,43.0,34.0,25.0,73.0,58.0,41.0,48.0,5.0,7.0,36.0,41.0,73.0,83.0,8.0,24.0,11.0,29.0,26.0,17.0,9.0,6.0,6.0,6.0,-10.0,-13.0,-22.0,-10.0
