x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
6.0,107.0,2016-01-05,0,ATL,28.0,39.0,5.0,15.0,18.0,39.0,53.0,46.0,35.0,22.0,66.0,48.0,46.0,41.0,11.0,14.0,35.0,27.0,92.0,63.0,22.0,12.0,24.0,19.0,20.0,22.0,7.0,3.0,6.0,4.0,-9.0,-13.0,-20.0,-24.0
14.0,111.0,2016-01-03,1,ATL,42.0,31.0,11.0,8.0,26.0,26.0,53.0,50.0,33.0,29.0,62.0,58.0,46.0,32.0,12.0,7.0,34.0,25.0,86.0,75.0,12.0,15.0,14.0,20.0,27.0,26.0,8.0,11.0,7.0,5.0,-16.0,-15.0,-19.0,-14.0
-19.0,98.0,2015-12-26,0,ATL,29.0,32.0,7.0,8.0,24.0,25.0,56.0,62.0,32.0,39.0,57.0,63.0,42.0,37.0,12.0,10.0,30.0,27.0,77.0,83.0,13.0,15.0,17.0,18.0,25.0,33.0,6.0,13.0,8.0,4.0,-22.0,-9.0,-15.0,-17.0
-11.0,101.0,2015-10-29,1,ATL,21.0,42.0,6.0,10.0,29.0,24.0,50.0,54.0,32.0,32.0,64.0,59.0,48.0,39.0,16.0,7.0,32.0,32.0,91.0,69.0,19.0,18.0,21.0,26.0,21.0,26.0,10.0,11.0,4.0,4.0,-21.0,-15.0,-24.0,-18.0
14.0,105.0,2016-04-01,1,BKN,61.0,17.0,14.0,4.0,23.0,24.0,46.0,42.0,28.0,32.0,61.0,77.0,46.0,52.0,7.0,20.0,39.0,32.0,1.0,75.0,7.0,15.0,7.0,20.0,24.0,20.0,4.0,11.0,8.0,2.0,-17.0,-11.0,-12.0,-11.0
-11.0,98.0,2016-02-19,0,BKN,39.0,47.0,10.0,8.0,26.0,17.0,46.0,49.0,26.0,34.0,56.0,69.0,44.0,42.0,8.0,7.0,36.0,35.0,89.0,85.0,16.0,17.0,18.0,20.0,20.0,26.0,6.0,14.0,6.0,6.0,-16.0,-7.0,-17.0,-17.0
-6.0,104.0,2016-01-13,0,BKN,32.0,53.0,7.0,9.0,22.0,17.0,49.0,52.0,34.0,36.0,69.0,69.0,47.0,45.0,15.0,8.0,32.0,37.0,65.0,79.0,15.0,11.0,23.0,14.0,19.0,24.0,10.0,8.0,3.0,3.0,-13.0,-15.0,-13.0,-15.0
17.0,108.0,2015-12-04,1,BKN,44.0,27.0,12.0,3.0,27.0,11.0,45.0,45.0,27.0,36.0,60.0,80.0,44.0,49.0,8.0,13.0,36.0,36.0,86.0,67.0,18.0,10.0,21.0,15.0,25.0,15.0,8.0,9.0,6.0,4.0,-13.0,-13.0,-14.0,-13.0
-1.0,104.0,2016-03-04,0,BOS,39.0,20.0,9.0,4.0,23.0,20.0,48.0,53.0,33.0,37.0,69.0,70.0,45.0,51.0,10.0,13.0,35.0,38.0,79.0,76.0,11.0,19.0,14.0,25.0,22.0,20.0,4.0,8.0,3.0,2.0,-10.0,-8.0,-18.0,-14.0
-8.0,89.0,2016-02-02,1,BOS,30.0,16.0,6.0,3.0,20.0,19.0,40.0,52.0,25.0,37.0,62.0,71.0,50.0,45.0,16.0,12.0,34.0,33.0,75.0,82.0,21.0,14.0,28.0,17.0,13.0,20.0,3.0,9.0,4.0,2.0,-16.0,-10.0,-16.0,-24.0
