x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-13.0,90.0,2016-04-05,0,ATL,39.0,32.0,12.0,11.0,31.0,34.0,36.0,46.0,18.0,28.0,50.0,61.0,51.0,50.0,11.0,13.0,40.0,37.0,60.0,74.0,18.0,14.0,30.0,19.0,19.0,26.0,13.0,16.0,4.0,3.0,-24.0,-16.0,-19.0,-21.0
3.0,98.0,2016-01-23,1,ATL,42.0,35.0,10.0,12.0,24.0,34.0,39.0,44.0,24.0,22.0,61.0,50.0,52.0,43.0,15.0,11.0,37.0,32.0,77.0,83.0,20.0,15.0,26.0,18.0,22.0,23.0,10.0,8.0,6.0,7.0,-17.0,-16.0,-17.0,-17.0
-10.0,106.0,2016-02-25,1,BKN,33.0,44.0,9.0,8.0,27.0,18.0,46.0,51.0,33.0,29.0,71.0,57.0,50.0,42.0,21.0,9.0,29.0,33.0,56.0,81.0,13.0,34.0,23.0,42.0,16.0,21.0,10.0,12.0,4.0,8.0,-20.0,-17.0,-29.0,-22.0
-3.0,91.0,2015-12-01,0,BKN,36.0,31.0,10.0,4.0,28.0,13.0,49.0,52.0,23.0,37.0,47.0,71.0,39.0,42.0,4.0,6.0,35.0,36.0,68.0,67.0,15.0,8.0,22.0,12.0,20.0,23.0,9.0,10.0,3.0,4.0,-16.0,-15.0,-13.0,-19.0
-3.0,99.0,2016-03-26,1,BOS,23.0,28.0,7.0,8.0,31.0,29.0,56.0,49.0,30.0,27.0,54.0,55.0,44.0,49.0,12.0,17.0,32.0,32.0,86.0,89.0,18.0,24.0,21.0,27.0,19.0,14.0,7.0,7.0,3.0,3.0,-20.0,-19.0,-24.0,-23.0
-14.0,103.0,2016-01-15,0,BOS,37.0,47.0,10.0,14.0,27.0,30.0,40.0,42.0,25.0,28.0,62.0,66.0,45.0,56.0,9.0,17.0,36.0,39.0,82.0,66.0,23.0,19.0,28.0,29.0,24.0,30.0,9.0,12.0,5.0,5.0,-14.0,-12.0,-22.0,-19.0
-34.0,92.0,2016-03-01,0,CHA,22.0,48.0,6.0,13.0,27.0,27.0,42.0,48.0,27.0,32.0,64.0,66.0,42.0,58.0,13.0,15.0,29.0,43.0,74.0,85.0,20.0,23.0,27.0,27.0,14.0,27.0,5.0,8.0,2.0,6.0,-11.0,-12.0,-22.0,-21.0
9.0,111.0,2016-01-06,1,CHA,58.0,39.0,19.0,11.0,33.0,28.0,43.0,46.0,22.0,27.0,51.0,59.0,39.0,44.0,2.0,9.0,37.0,35.0,77.0,68.0,10.0,15.0,13.0,22.0,25.0,20.0,11.0,9.0,2.0,5.0,-12.0,-13.0,-21.0,-15.0
2.0,103.0,2015-12-07,0,CHI,41.0,29.0,7.0,6.0,17.0,21.0,45.0,51.0,34.0,35.0,75.0,69.0,40.0,48.0,10.0,16.0,30.0,32.0,82.0,72.0,14.0,13.0,17.0,18.0,18.0,28.0,12.0,11.0,4.0,8.0,-18.0,-20.0,-17.0,-19.0
-6.0,97.0,2015-11-18,1,CHI,30.0,47.0,8.0,9.0,27.0,19.0,45.0,50.0,29.0,32.0,64.0,64.0,43.0,47.0,14.0,11.0,29.0,36.0,71.0,86.0,15.0,12.0,21.0,14.0,16.0,24.0,12.0,7.0,4.0,2.0,-12.0,-19.0,-14.0,-17.0
-22.0,93.0,2016-01-27,0,CLE,40.0,39.0,8.0,11.0,20.0,28.0,50.0,64.0,25.0,34.0,50.0,53.0,34.0,37.0,12.0,10.0,22.0,27.0,76.0,88.0,19.0,14.0,25.0,16.0,25.0,34.0,6.0,12.0,2.0,3.0,-22.0,-13.0,-17.0,-17.0
