x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
-7.0,84.0,2016-03-08,1,ATL,27.0,32.0,7.0,8.0,26.0,25.0,38.0,55.0,23.0,30.0,60.0,55.0,54.0,41.0,15.0,4.0,39.0,37.0,74.0,50.0,17.0,7.0,23.0,14.0,16.0,15.0,10.0,9.0,4.0,4.0,-20.0,-16.0,-14.0,-19.0
1.0,97.0,2015-11-15,0,ATL,33.0,36.0,7.0,8.0,21.0,22.0,58.0,54.0,32.0,29.0,55.0,54.0,40.0,33.0,10.0,8.0,30.0,25.0,71.0,82.0,12.0,14.0,17.0,17.0,21.0,26.0,7.0,9.0,7.0,5.0,-17.0,-15.0,-15.0,-16.0
-2.0,96.0,2016-02-27,1,BKN,25.0,50.0,5.0,7.0,20.0,14.0,46.0,47.0,32.0,33.0,69.0,70.0,48.0,45.0,16.0,8.0,32.0,37.0,68.0,65.0,17.0,11.0,25.0,17.0,14.0,23.0,11.0,12.0,9.0,2.0,-21.0,-19.0,-19.0,-21.0
22.0,108.0,2016-01-22,0,BKN,56.0,38.0,9.0,6.0,16.0,16.0,58.0,46.0,34.0,27.0,59.0,59.0,40.0,24.0,9.0,6.0,31.0,18.0,87.0,78.0,13.0,14.0,15.0,18.0,28.0,24.0,5.0,5.0,4.0,2.0,-14.0,-11.0,-20.0,-15.0
-5.0,95.0,2016-02-29,0,BOS,29.0,33.0,7.0,6.0,24.0,18.0,40.0,47.0,31.0,31.0,77.0,66.0,52.0,47.0,15.0,11.0,37.0,36.0,71.0,69.0,12.0,20.0,17.0,29.0,23.0,27.0,6.0,6.0,4.0,13.0,-9.0,-9.0,-21.0,-18.0
18.0,111.0,2016-02-19,1,BOS,44.0,28.0,10.0,7.0,23.0,25.0,60.0,41.0,27.0,23.0,45.0,56.0,51.0,34.0,8.0,8.0,43.0,26.0,61.0,72.0,27.0,26.0,44.0,36.0,22.0,18.0,4.0,8.0,8.0,3.0,-15.0,-7.0,-26.0,-31.0
29.0,102.0,2016-01-27,1,CHA,39.0,24.0,12.0,6.0,31.0,25.0,56.0,44.0,28.0,19.0,50.0,43.0,45.0,35.0,7.0,5.0,38.0,30.0,67.0,81.0,10.0,17.0,15.0,21.0,23.0,10.0,10.0,6.0,6.0,0.0,-10.0,-18.0,-18.0,-15.0
-5.0,119.0,2016-01-18,0,CHA,33.0,52.0,15.0,14.0,45.0,27.0,49.0,44.0,29.0,27.0,59.0,61.0,49.0,50.0,15.0,7.0,34.0,43.0,80.0,88.0,16.0,28.0,20.0,32.0,27.0,20.0,6.0,6.0,7.0,4.0,-10.0,-16.0,-28.0,-18.0
-7.0,85.0,2016-03-19,0,CHI,30.0,32.0,8.0,6.0,27.0,19.0,46.0,54.0,27.0,33.0,59.0,61.0,40.0,42.0,15.0,11.0,25.0,31.0,58.0,73.0,7.0,8.0,12.0,11.0,22.0,24.0,5.0,4.0,4.0,6.0,-10.0,-11.0,-14.0,-12.0
9.0,105.0,2016-02-01,1,CHI,39.0,24.0,7.0,5.0,18.0,21.0,46.0,49.0,31.0,34.0,67.0,69.0,50.0,42.0,10.0,8.0,40.0,34.0,67.0,65.0,22.0,13.0,33.0,20.0,19.0,19.0,5.0,4.0,4.0,7.0,-14.0,-14.0,-23.0,-25.0
