x,score,time,homeOraway,opponent,3pt %,3pt %_op,3pts,3pts_op,3pt attempts,3pt attempts_op,2pt %,2pt %_op,2pts,2pts_op,2pt attempts,2pt attempts_op,rebounds,rebounds_op,offensive rebs,offensive rebs_op,defensive rebs,defensive rebs_op,free throws %,free throws %_op,free throws,free throws_op,free throw atps,free throw atps_op,assists,assists_op,steals,steals_op,blocks,blocks_op,turnovers,turnovers_op,fouls,fouls_op
11.0,109.0,2016-04-13,1,ATL,32.0,37.0,9.0,11.0,28.0,30.0,55.0,41.0,33.0,21.0,60.0,51.0,51.0,47.0,11.0,9.0,40.0,38.0,53.0,74.0,16.0,23.0,30.0,31.0,25.0,22.0,14.0,13.0,4.0,5.0,-19.0,-22.0,-22.0,-21.0
-21.0,101.0,2016-03-23,1,ATL,40.0,41.0,12.0,17.0,30.0,42.0,44.0,67.0,27.0,28.0,62.0,42.0,43.0,41.0,10.0,7.0,33.0,34.0,92.0,68.0,11.0,15.0,12.0,22.0,25.0,32.0,7.0,10.0,2.0,5.0,-18.0,-16.0,-22.0,-17.0
15.0,117.0,2016-03-21,0,ATL,52.0,39.0,13.0,13.0,25.0,33.0,50.0,56.0,33.0,25.0,66.0,45.0,44.0,33.0,9.0,2.0,35.0,31.0,60.0,77.0,12.0,13.0,20.0,17.0,27.0,23.0,10.0,5.0,3.0,6.0,-9.0,-14.0,-17.0,-15.0
-15.0,99.0,2015-11-07,0,ATL,33.0,39.0,8.0,13.0,24.0,33.0,56.0,51.0,30.0,30.0,54.0,59.0,41.0,39.0,8.0,10.0,33.0,29.0,88.0,1.0,15.0,15.0,17.0,15.0,27.0,37.0,12.0,13.0,2.0,4.0,-25.0,-15.0,-18.0,-15.0
9.0,120.0,2016-04-11,0,BKN,36.0,32.0,9.0,10.0,25.0,31.0,58.0,51.0,37.0,34.0,64.0,67.0,47.0,43.0,9.0,13.0,38.0,30.0,79.0,62.0,19.0,13.0,24.0,21.0,27.0,24.0,8.0,9.0,1.0,9.0,-14.0,-10.0,-18.0,-16.0
18.0,121.0,2016-04-06,1,BKN,29.0,39.0,8.0,7.0,28.0,18.0,60.0,43.0,40.0,32.0,67.0,74.0,53.0,38.0,16.0,11.0,37.0,27.0,85.0,75.0,17.0,18.0,20.0,24.0,36.0,26.0,7.0,7.0,10.0,4.0,-11.0,-10.0,-19.0,-21.0
15.0,111.0,2015-12-26,0,BKN,44.0,29.0,12.0,5.0,27.0,17.0,53.0,53.0,30.0,38.0,57.0,72.0,39.0,50.0,7.0,16.0,32.0,34.0,68.0,31.0,15.0,5.0,22.0,16.0,32.0,24.0,10.0,8.0,5.0,5.0,-11.0,-19.0,-20.0,-22.0
-25.0,91.0,2016-01-25,1,BOS,29.0,41.0,7.0,9.0,24.0,22.0,49.0,51.0,25.0,35.0,51.0,68.0,39.0,43.0,5.0,7.0,34.0,36.0,67.0,83.0,20.0,19.0,30.0,23.0,24.0,31.0,5.0,12.0,3.0,1.0,-20.0,-10.0,-19.0,-23.0
-2.0,117.0,2016-01-16,1,BOS,27.0,31.0,6.0,9.0,22.0,29.0,51.0,51.0,34.0,30.0,67.0,59.0,42.0,47.0,14.0,17.0,28.0,30.0,86.0,89.0,31.0,32.0,36.0,36.0,25.0,27.0,13.0,7.0,5.0,3.0,-13.0,-16.0,-27.0,-25.0
-33.0,78.0,2015-11-27,0,BOS,28.0,36.0,5.0,12.0,18.0,33.0,33.0,47.0,22.0,30.0,66.0,64.0,46.0,58.0,13.0,19.0,33.0,39.0,86.0,79.0,19.0,15.0,22.0,19.0,16.0,28.0,7.0,11.0,4.0,7.0,-22.0,-15.0,-19.0,-15.0
-20.0,98.0,2015-11-06,0,BOS,32.0,40.0,8.0,12.0,25.0,30.0,44.0,48.0,28.0,32.0,63.0,67.0,45.0,53.0,10.0,15.0,35.0,38.0,78.0,78.0,18.0,18.0,23.0,23.0,23.0,24.0,10.0,18.0,8.0,5.0,-24.0,-17.0,-27.0,-21.0
